Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/01/01 @ 00:00:00;1;1;0;27.1;26.04;100.84;92;25.68;0;0;0;2.6
2002/01/01 @ 01:00:00;1;1;1;27.1;26.04;100.86;92;25.68;0;0;0;2.7
2002/01/01 @ 02:00:00;1;1;2;27.2;26.13;100.88;92;25.78;0;0;0;2.7
2002/01/01 @ 03:00:00;1;1;3;27.3;26.1;100.9;91;25.7;0;0;0;3
2002/01/01 @ 04:00:00;1;1;4;27.4;25.92;100.93;89;25.42;0;0;0;3.4
2002/01/01 @ 05:00:00;1;1;5;28.1;26.45;100.95;88;25.92;0;0;0;3.6
2002/01/01 @ 06:00:00;1;1;6;28.9;27.66;100.76;91;27.27;0;0;0;4.1
2002/01/01 @ 07:00:00;1;1;7;29.6;27.76;100.72;87;27.2;0;0;0;4.4
2002/01/01 @ 08:00:00;1;1;8;30.1;26.08;101.25;73;24.72;503.55;231;431;4.9
2002/01/01 @ 09:00:00;1;1;9;30.7;26.3;101.24;71;24.83;883.82;588;575;5.1
2002/01/01 @ 10:00:00;1;1;10;31.1;26.33;101.22;69;24.74;974.55;758;444;5.2
2002/01/01 @ 11:00:00;1;1;11;31.4;26.44;101.2;68;24.78;981.07;852;277;5.6
2002/01/01 @ 12:00:00;1;1;12;31.5;26.53;101.17;68;24.87;943.32;871;163;5.5
2002/01/01 @ 13:00:00;1;1;13;31.4;26.44;101.13;68;24.78;867.23;673;259;5.5
2002/01/01 @ 14:00:00;1;1;14;31.1;26.16;101.1;68;24.49;740.95;452;357;5.3
2002/01/01 @ 15:00:00;1;1;15;30.5;26.12;101.09;71;24.64;558.75;206;407;5.1
2002/01/01 @ 16:00:00;1;1;16;29.8;25.96;101.07;74;24.66;328.21;44;303;4.7
2002/01/01 @ 17:00:00;1;1;17;29.2;25.88;101.06;77;24.75;146.96;8;144;4.6
2002/01/01 @ 18:00:00;1;1;18;28.7;26.01;101.08;81;25.11;43.28;2;43;4.1
2002/01/01 @ 19:00:00;1;1;19;28.1;25.88;101.11;84;25.14;11;1;11;3.6
2002/01/01 @ 20:00:00;1;1;20;27.6;25.97;101.13;88;25.43;0;0;0;2.8
2002/01/01 @ 21:00:00;1;1;21;27.4;25.92;101.14;89;25.42;0;0;0;2.7
2002/01/01 @ 22:00:00;1;1;22;27.2;25.86;101.15;90;25.41;0;0;0;2.5
2002/01/01 @ 23:00:00;1;1;23;27;25.8;101.16;91;25.4;0;0;0;2.3
2002/01/02 @ 00:00:00;1;2;0;27.1;25.76;101.18;90;25.31;0;0;0;2.5
2002/01/02 @ 01:00:00;1;2;1;27.2;25.86;101.19;90;25.41;0;0;0;2.5
