Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/01/01 @ 00:00:00;1;1;0;15.1;12.01;101.33;70;9.71;0;0;0;1.2
2002/01/01 @ 01:00:00;1;1;1;14.8;11.74;101.33;70;9.42;0;0;0;1.9
2002/01/01 @ 02:00:00;1;1;2;14;11.23;101.33;72;9.07;0;0;0;2
2002/01/01 @ 03:00:00;1;1;3;13.4;10.78;101.33;73;8.69;0;0;0;2
2002/01/01 @ 04:00:00;1;1;4;13.5;10.77;101.33;72;8.59;0;0;0;2
2002/01/01 @ 05:00:00;1;1;5;13.3;10.79;101.33;74;8.8;0;0;0;2.1
2002/01/01 @ 06:00:00;1;1;6;14.5;11.58;101.33;71;9.34;0;0;0;2.1
2002/01/01 @ 07:00:00;1;1;7;16.3;12.87;101.33;68;10.42;112.14;140;102;2
2002/01/01 @ 08:00:00;1;1;8;19.2;14.06;101.33;57;10.52;228.78;352;133;1.6
2002/01/01 @ 09:00:00;1;1;9;22.1;15.51;101.33;50;11.23;410.37;591;149;1.8
2002/01/01 @ 10:00:00;1;1;10;23.9;15.53;101.33;41;9.89;536.61;766;99;1.3
2002/01/01 @ 11:00:00;1;1;11;26.5;17.18;101.33;39;11.46;630.09;775;126;1.7
2002/01/01 @ 12:00:00;1;1;12;27.4;17.49;101.33;37;11.47;652.38;705;177;2.1
2002/01/01 @ 13:00:00;1;1;13;27.3;17.42;101.33;37;11.38;596.25;685;157;2.3
2002/01/01 @ 14:00:00;1;1;14;26.1;16.7;101.33;38;10.72;464.35;698;78;2.3
2002/01/01 @ 15:00:00;1;1;15;26;16.44;101.33;37;10.23;304.49;567;68;1.8
2002/01/01 @ 16:00:00;1;1;16;26.1;17.77;101.33;44;12.94;110.63;214;59;1.5
2002/01/01 @ 17:00:00;1;1;17;25.9;17.95;101.33;46;13.43;0;0;0;1.5
2002/01/01 @ 18:00:00;1;1;18;23.3;16.8;101.33;52;12.93;0;0;0;1.6
2002/01/01 @ 19:00:00;1;1;19;20.7;15.48;101.33;58;12.18;0;0;0;1.7
2002/01/01 @ 20:00:00;1;1;20;18.4;14.14;101.33;63;11.27;0;0;0;1.3
2002/01/01 @ 21:00:00;1;1;21;16.7;13.11;101.33;67;10.58;0;0;0;0.9
2002/01/01 @ 22:00:00;1;1;22;16;12.83;101.33;70;10.57;0;0;0;0.6
2002/01/01 @ 23:00:00;1;1;23;15.3;12.52;101.33;73;10.53;0;0;0;0.6
