Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/01/01 @ 00:00:00;1;1;0;24.4;23.78;100.91;95;23.55;1;0;1;2.9
2002/01/01 @ 01:00:00;1;1;1;24.2;23.83;100.92;97;23.7;0;0;0;2.6
2002/01/01 @ 02:00:00;1;1;2;24.5;23.75;100.93;94;23.47;0;0;0;2.1
2002/01/01 @ 03:00:00;1;1;3;24.1;23.35;100.9;94;23.08;0;0;0;1.8
2002/01/01 @ 04:00:00;1;1;4;24.7;24.33;100.88;97;24.19;0;0;0;1.3
2002/01/01 @ 05:00:00;1;1;5;24.3;23.93;100.85;97;23.8;0;0;0;0.9
2002/01/01 @ 06:00:00;1;1;6;24.3;23.93;100.84;97;23.8;0;0;0;0.9
2002/01/01 @ 07:00:00;1;1;7;25.1;24.47;100.84;95;24.24;39.94;7;38;1
2002/01/01 @ 08:00:00;1;1;8;26.4;24.67;100.83;87;24.06;118.95;12;113;1.1
2002/01/01 @ 09:00:00;1;1;9;27.9;24.96;100.8;79;23.92;237.41;27;219;1.6
2002/01/01 @ 10:00:00;1;1;10;29.7;25.87;100.78;74;24.57;411.95;79;347;2
2002/01/01 @ 11:00:00;1;1;11;31.2;26.08;100.75;67;24.34;718.48;384;370;2.3
2002/01/01 @ 12:00:00;1;1;12;32;26.09;100.71;63;24.07;891.81;665;272;2.7
2002/01/01 @ 13:00:00;1;1;13;32.6;26.25;100.68;61;24.1;931.13;811;206;3
2002/01/01 @ 14:00:00;1;1;14;32.5;25.79;100.64;59;23.45;823.91;781;202;3
2002/01/01 @ 15:00:00;1;1;15;32;24.8;100.67;56;22.13;599.45;523;262;2.4
2002/01/01 @ 16:00:00;1;1;16;30.8;23.96;100.7;57;21.31;327.62;141;264;2
2002/01/01 @ 17:00:00;1;1;17;30.2;23.08;100.72;55;20.17;154.37;50;143;1.3
2002/01/01 @ 18:00:00;1;1;18;29.6;23.28;100.79;59;20.75;31;13;31;1.5
2002/01/01 @ 19:00:00;1;1;19;28.8;22.93;100.86;61;20.54;0;0;0;1.7
2002/01/01 @ 20:00:00;1;1;20;27.8;22.06;100.93;61;19.61;5;0;5;1.9
2002/01/01 @ 21:00:00;1;1;21;27.8;22.39;100.95;63;20.13;0;0;0;2
2002/01/01 @ 22:00:00;1;1;22;27.4;22.51;100.96;66;20.5;0;0;0;2
2002/01/01 @ 23:00:00;1;1;23;27.1;22.4;100.98;67;20.46;1;0;1;2
2002/01/02 @ 00:00:00;1;2;0;27.2;23.11;100.97;71;21.49;0;0;0;1.9
2002/01/02 @ 01:00:00;1;2;1;26.9;22.99;100.96;72;21.43;0;0;0;1.8
2002/01/02 @ 02:00:00;1;2;2;26.9;23.44;100.94;75;22.1;14;0;14;1.5
2002/01/02 @ 03:00:00;1;2;3;26.5;23.65;100.92;79;22.57;0;0;0;1.6
2002/01/02 @ 04:00:00;1;2;4;26;23.18;100.9;79;22.08;0;0;0;1.7
2002/01/02 @ 05:00:00;1;2;5;26;23.74;100.87;83;22.89;0;0;0;1.9
2002/01/02 @ 06:00:00;1;2;6;25.9;23.92;100.92;85;23.19;0;0;0;2
2002/01/02 @ 07:00:00;1;2;7;26.3;24.16;100.97;84;23.38;36.38;5;35;2.1
2002/01/02 @ 08:00:00;1;2;8;26.9;24.31;101.01;81;23.37;90.97;6;88;2.2
2002/01/02 @ 09:00:00;1;2;9;27.8;24.87;100.99;79;23.82;158.13;9;152;2.4
2002/01/02 @ 10:00:00;1;2;10;28.5;25.37;100.96;78;24.29;199.57;8;193;2.8
2002/01/02 @ 11:00:00;1;2;11;28.7;25.41;100.93;77;24.27;237.17;9;229;3
2002/01/02 @ 12:00:00;1;2;12;29;24.91;100.92;72;23.44;228.53;7;222;2.3
2002/01/02 @ 13:00:00;1;2;13;28.3;23.95;100.9;70;22.31;190.48;5;186;1.8
2002/01/02 @ 14:00:00;1;2;14;27.4;22.67;100.88;67;20.74;130.39;3;128;1
2002/01/02 @ 15:00:00;1;2;15;27.2;22.49;100.86;67;20.55;92.29;2;91;1.1
2002/01/02 @ 16:00:00;1;2;16;27.2;22.49;100.85;67;20.55;88.36;3;87;1.1
2002/01/02 @ 17:00:00;1;2;17;26.9;22.06;100.83;66;20.03;77.38;6;76;1.3
2002/01/02 @ 18:00:00;1;2;18;26.3;21.07;100.92;63;18.72;33;14;33;1.6
2002/01/02 @ 19:00:00;1;2;19;26.4;21.47;101;65;19.31;0;0;0;1.9
2002/01/02 @ 20:00:00;1;2;20;25.9;21.33;101.09;67;19.32;0;0;0;2
2002/01/02 @ 21:00:00;1;2;21;25.4;21.33;101.12;70;19.55;0;0;0;1.8
2002/01/02 @ 22:00:00;1;2;22;25.4;21.76;101.15;73;20.22;0;0;0;1.5
2002/01/02 @ 23:00:00;1;2;23;25.2;21.87;101.18;75;20.47;0;0;0;1.4
2002/01/03 @ 00:00:00;1;3;0;25.1;21.91;101.18;76;20.58;0;0;0;1.4
2002/01/03 @ 01:00:00;1;3;1;25;22.1;101.18;78;20.91;0;0;0;1.3
2002/01/03 @ 02:00:00;1;3;2;25.1;22.61;101.18;81;21.62;0;0;0;1.2
2002/01/03 @ 03:00:00;1;3;3;24.5;22.58;101.15;85;21.82;0;0;0;1.5
2002/01/03 @ 04:00:00;1;3;4;24.4;23.65;101.11;94;23.37;0;0;0;1.7
2002/01/03 @ 05:00:00;1;3;5;24.1;23.48;101.08;95;23.25;0;0;0;1.9
2002/01/03 @ 06:00:00;1;3;6;24.7;24.2;101.09;96;24.02;0;0;0;1.4
2002/01/03 @ 07:00:00;1;3;7;25.3;24.66;101.1;95;24.44;33.37;5;32;0.7
2002/01/03 @ 08:00:00;1;3;8;25.9;24.99;101.11;93;24.68;52.99;2;52;0.5
2002/01/03 @ 09:00:00;1;3;9;26.8;24.64;101.1;84;23.87;132.08;6;128;0.7
2002/01/03 @ 10:00:00;1;3;10;27.7;24.33;101.1;76;23.09;214.21;10;206;0.8
2002/01/03 @ 11:00:00;1;3;11;28.5;24.61;101.09;73;23.19;303.34;18;287;1.2
2002/01/03 @ 12:00:00;1;3;12;29.2;24.45;101.06;68;22.69;342.53;22;322;1.2
2002/01/03 @ 13:00:00;1;3;13;29.2;23.96;101.03;65;21.95;353.41;25;331;1
2002/01/03 @ 14:00:00;1;3;14;29.5;23.89;101;63;21.72;329.78;26;309;0.9
2002/01/03 @ 15:00:00;1;3;15;29.6;23.8;100.99;62;21.56;279.22;25;263;0.9
2002/01/03 @ 16:00:00;1;3;16;29;23.61;100.98;64;21.51;188.19;18;180;0.9
2002/01/03 @ 17:00:00;1;3;17;28.4;23.24;100.96;65;21.2;91.08;9;89;0.9
2002/01/03 @ 18:00:00;1;3;18;28.1;23.62;101.05;69;21.89;31;12;31;1.6
