Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/01/01 @ 00:00:00;1;1;0;24.8;19.91;92.4;65;17.8;285.52;97;213;3.2
2002/01/01 @ 01:00:00;1;1;1;26.9;19.94;92.4;54;16.84;412.35;146;304;3.2
2002/01/01 @ 02:00:00;1;1;2;28.7;19.76;92.4;45;15.63;511.55;197;378;3.2
2002/01/01 @ 03:00:00;1;1;3;30.3;21.84;92.4;49;18.42;572.69;273;420;6.9
2002/01/01 @ 04:00:00;1;1;4;30.4;22.51;92.3;52;19.46;558.2;543;344;9.6
2002/01/01 @ 05:00:00;1;1;5;29.4;23.31;92.2;61;21.11;417.75;672;287;12
2002/01/01 @ 06:00:00;1;1;6;27.9;23.16;92.2;68;21.46;386;400;386;12.9
2002/01/01 @ 07:00:00;1;1;7;25.8;22.33;92.2;75;21.04;390;236;390;13.7
2002/01/01 @ 08:00:00;1;1;8;23.1;21.19;92.3;85;20.45;332;150;332;14.9
2002/01/01 @ 09:00:00;1;1;9;21.6;20.51;92.3;91;20.08;245;102;245;13.1
2002/01/01 @ 10:00:00;1;1;10;21.1;20.63;92.3;96;20.45;140;27;140;10.9
2002/01/01 @ 11:00:00;1;1;11;20.1;19.75;92.3;97;19.62;0;0;0;8.8
2002/01/01 @ 12:00:00;1;1;12;19.5;19.27;92.3;98;19.19;0;0;0;7.5
2002/01/01 @ 13:00:00;1;1;13;19.3;19.07;92.3;98;18.99;0;0;0;5.6
2002/01/01 @ 14:00:00;1;1;14;18.9;18.56;92.3;97;18.43;0;0;0;4.4
2002/01/01 @ 15:00:00;1;1;15;18.7;18.25;92.3;96;18.07;0;0;0;4.3
2002/01/01 @ 16:00:00;1;1;16;18.5;17.94;92.3;95;17.71;0;0;0;4.2
2002/01/01 @ 17:00:00;1;1;17;17.7;17.37;92.4;97;17.24;0;0;0;4.1
2002/01/01 @ 18:00:00;1;1;18;16.8;16.48;92.3;97;16.35;0;0;0;3.7
2002/01/01 @ 19:00:00;1;1;19;16.8;16.37;92.3;96;16.18;0;0;0;3.3
2002/01/01 @ 20:00:00;1;1;20;17;16.35;92.3;94;16.05;0;0;0;2.7
2002/01/01 @ 21:00:00;1;1;21;17.2;16.66;92.3;95;16.42;0;0;0;2.6
2002/01/01 @ 22:00:00;1;1;22;17.5;17.07;92.2;96;16.88;77.58;1;77;2.1
2002/01/01 @ 23:00:00;1;1;23;19.8;19.11;92.2;94;18.82;171.28;120;88;1.7
2002/01/02 @ 00:00:00;1;2;0;23.2;20.62;92.3;80;19.57;277.59;85;214;2.3
2002/01/02 @ 01:00:00;1;2;1;25.4;21.21;92.3;70;19.55;404.83;133;306;2.2
2002/01/02 @ 02:00:00;1;2;2;28;22.59;92.3;64;20.57;505.66;185;380;3
2002/01/02 @ 03:00:00;1;2;3;29.5;23.57;92.3;62;21.46;561.6;231;432;6
2002/01/02 @ 04:00:00;1;2;4;28.6;23.29;92.2;65;21.39;567.43;387;414;8.6
2002/01/02 @ 05:00:00;1;2;5;26.6;22.77;92.1;73;21.37;510.6;303;451;11.1
