Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/01/01 @ 00:00:00;1;1;0;22.8;19.65;100.92;75;18.16;0;0;0;2
2002/01/01 @ 01:00:00;1;1;1;22.8;19.78;100.92;76;18.37;0;0;0;2.5
2002/01/01 @ 02:00:00;1;1;2;23.3;20.38;100.92;77;19.06;0;0;0;2.5
2002/01/01 @ 03:00:00;1;1;3;23.3;20.64;100.92;79;19.47;0;0;0;3
2002/01/01 @ 04:00:00;1;1;4;22.8;20.7;100.92;83;19.78;0;0;0;3
2002/01/01 @ 05:00:00;1;1;5;23.3;21.17;100.92;83;20.26;0;0;0;3.4
2002/01/01 @ 06:00:00;1;1;6;24.4;21.68;100.92;79;20.53;0;0;0;3.9
2002/01/01 @ 07:00:00;1;1;7;25.6;22.52;100.92;77;21.28;165.16;341;53;3.9
2002/01/01 @ 08:00:00;1;1;8;26.7;22.8;100.92;72;21.24;303.13;378;107;4
2002/01/01 @ 09:00:00;1;1;9;27.2;23.11;100.92;71;21.49;549.62;637;111;4.4
2002/01/01 @ 10:00:00;1;1;10;28.3;23.8;100.92;69;22.08;796;847;96;4.9
2002/01/01 @ 11:00:00;1;1;11;28.9;23.69;100.92;65;21.67;904.03;806;160;4.4
2002/01/01 @ 12:00:00;1;1;12;28.9;23.19;100.92;62;20.9;956.96;751;227;4.4
2002/01/01 @ 13:00:00;1;1;13;28.3;22.33;100.92;60;19.81;941.86;665;297;4.1
2002/01/01 @ 14:00:00;1;1;14;28.3;22.32;100.58;60;19.81;867.72;554;360;3.9
2002/01/01 @ 15:00:00;1;1;15;28.3;22.32;100.58;60;19.81;731.26;395;409;3.4
2002/01/01 @ 16:00:00;1;1;16;28.3;22.49;100.58;61;20.08;523.05;172;407;3
2002/01/01 @ 17:00:00;1;1;17;28.3;22.66;100.58;62;20.34;367.74;91;322;3
2002/01/01 @ 18:00:00;1;1;18;27.8;22.22;100.58;62;19.87;171.61;18;166;3
2002/01/01 @ 19:00:00;1;1;19;27.2;21.85;100.58;63;19.56;68.57;5;68;3.4
2002/01/01 @ 20:00:00;1;1;20;27.2;21.85;100.58;63;19.56;0;0;0;3
2002/01/01 @ 21:00:00;1;1;21;25.6;20.91;100.92;66;18.8;0;0;0;3
