Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/01/01 @ 00:00:00;1;1;0;15.9;7.51;101.54;27;-2.7;0;0;0;1.3
2002/01/01 @ 01:00:00;1;1;1;15.1;6.94;101.52;27;-3.31;0;0;0;1.2
2002/01/01 @ 02:00:00;1;1;2;14.7;6.78;101.58;28;-3.19;0;0;0;1.2
2002/01/01 @ 03:00:00;1;1;3;13.7;6.3;101.64;30;-3.14;0;0;0;1.1
2002/01/01 @ 04:00:00;1;1;4;16.3;8.06;101.55;29;-1.55;0;0;0;1.3
2002/01/01 @ 05:00:00;1;1;5;13.8;6.5;101.7;31;-2.67;0;0;0;0.9
2002/01/01 @ 06:00:00;1;1;6;14.6;7.34;101.74;33;-1.3;0;0;0;0.9
2002/01/01 @ 07:00:00;1;1;7;16.4;8.28;101.77;30;-1.06;0;0;0;1
2002/01/01 @ 08:00:00;1;1;8;18.1;9.08;101.86;27;-1.03;238.34;243;177;1.4
2002/01/01 @ 09:00:00;1;1;9;21.9;11.22;101.8;24;0.41;312.9;526;107;1.5
2002/01/01 @ 10:00:00;1;1;10;24.8;12.21;101.77;19;-0.32;382.77;474;151;1.6
2002/01/01 @ 11:00:00;1;1;11;26.8;12.83;101.74;16;-0.97;484.85;609;157;2
2002/01/01 @ 12:00:00;1;1;12;28.3;13.51;101.74;15;-0.69;500.71;613;172;2.1
2002/01/01 @ 13:00:00;1;1;13;27.9;13.94;101.63;18;1.4;431.07;460;209;2
2002/01/01 @ 14:00:00;1;1;14;25.3;13.11;101.51;22;2.07;331.27;289;221;2
2002/01/01 @ 15:00:00;1;1;15;24.5;13.9;101.62;29;5.34;204.63;107;179;1.8
2002/01/01 @ 16:00:00;1;1;16;23.5;14.9;101.62;39;8.79;71.86;13;71;1.5
2002/01/01 @ 17:00:00;1;1;17;20.6;14.71;101.68;53;10.73;0;0;0;1.2
2002/01/01 @ 18:00:00;1;1;18;17.9;14.19;101.7;67;11.72;0;0;0;0.9
2002/01/01 @ 19:00:00;1;1;19;15.9;13.51;101.74;77;11.91;0;0;0;0.8
2002/01/01 @ 20:00:00;1;1;20;15;13.5;101.75;85;12.53;0;0;0;0.6
2002/01/01 @ 21:00:00;1;1;21;14.6;12.2;101.7;76;10.45;0;0;0;0.9
2002/01/01 @ 22:00:00;1;1;22;14.9;11.18;101.65;64;8.19;0;0;0;1.1
2002/01/01 @ 23:00:00;1;1;23;15.1;9.88;101.6;51;5.06;0;0;0;1.2
2002/01/02 @ 00:00:00;1;2;0;15.2;9.49;101.56;47;3.98;0;0;0;1.1
2002/01/02 @ 01:00:00;1;2;1;15;8.61;101.54;41;1.86;0;0;0;0.9
2002/01/02 @ 02:00:00;1;2;2;15;8.37;101.52;39;1.15;0;0;0;0.8
2002/01/02 @ 03:00:00;1;2;3;14.9;7.92;101.54;36;-0.02;0;0;0;0.9
2002/01/02 @ 04:00:00;1;2;4;14.8;7.72;101.54;35;-0.44;0;0;0;1
2002/01/02 @ 05:00:00;1;2;5;14.5;7.38;101.56;34;-1.02;0;0;0;1
2002/01/02 @ 06:00:00;1;2;6;14.4;7.66;101.55;37;-0.08;0;0;0;0.9
2002/01/02 @ 07:00:00;1;2;7;15;8.37;101.56;39;1.15;0;0;0;0.8
2002/01/02 @ 08:00:00;1;2;8;16.4;8.93;101.54;35;0.89;103.06;242;42;0.8
2002/01/02 @ 09:00:00;1;2;9;18.9;10.94;101.54;36;3.52;190.77;173;123;1
2002/01/02 @ 10:00:00;1;2;10;23;13.68;101.5;34;6.33;231.01;96;184;1
2002/01/02 @ 11:00:00;1;2;11;25;14.43;101.47;30;6.26;356;228;233;0.8
2002/01/02 @ 12:00:00;1;2;12;26.2;13.9;101.38;23;3.46;363.32;194;259;1.1
2002/01/02 @ 13:00:00;1;2;13;25.7;14.15;101.36;26;4.79;248.26;48;225;1.2
2002/01/02 @ 14:00:00;1;2;14;24.1;13.6;101.29;29;4.99;126.07;8;123;1
2002/01/02 @ 15:00:00;1;2;15;22.9;13.26;101.22;32;5.37;35.24;1;35;0.8
2002/01/02 @ 16:00:00;1;2;16;21.6;11.99;101.15;30;3.3;0;0;0;0.4
2002/01/02 @ 17:00:00;1;2;17;21.1;11.63;101.1;30;2.87;0;0;0;0.4
2002/01/02 @ 18:00:00;1;2;18;19.7;10.47;101.05;29;1.17;0;0;0;0.4
2002/01/02 @ 19:00:00;1;2;19;18.7;10.2;101.12;32;1.68;0;0;0;0.7
2002/01/02 @ 20:00:00;1;2;20;17.9;10.18;101.12;36;2.63;0;0;0;1
2002/01/02 @ 21:00:00;1;2;21;17.5;9.88;101.12;36;2.27;0;0;0;1.1
2002/01/02 @ 22:00:00;1;2;22;17.1;9.44;101.12;35;1.52;0;0;0;1.2
2002/01/02 @ 23:00:00;1;2;23;17;8.55;101.08;29;-1.01;0;0;0;1.4
2002/01/03 @ 00:00:00;1;3;0;17;8.27;101.07;27;-1.87;0;0;0;1.5
