Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/01/01 @ 00:00:00;1;1;0;5.2;4.43;102.46;89;3.54;0;0;0;3.5
2002/01/01 @ 01:00:00;1;1;1;5.1;4.26;102.48;88;3.28;0;0;0;3.4
2002/01/01 @ 02:00:00;1;1;2;5.3;4.53;102.45;89;3.64;0;0;0;4.2
2002/01/01 @ 03:00:00;1;1;3;7.1;6.27;101.61;89;5.43;0;0;0;4.8
2002/01/01 @ 04:00:00;1;1;4;6.9;6.38;101.72;93;5.87;0;0;0;5.7
2002/01/01 @ 05:00:00;1;1;5;7.2;6.75;101.87;94;6.32;0;0;0;5.5
2002/01/01 @ 06:00:00;1;1;6;6.4;5.96;102.17;94;5.53;0;0;0;5.2
2002/01/01 @ 07:00:00;1;1;7;7.3;6.92;101.86;95;6.58;0;0;0;5.4
2002/01/01 @ 08:00:00;1;1;8;8.7;8.22;101.71;94;7.82;0;0;0;5.9
2002/01/01 @ 09:00:00;1;1;9;8.4;7.69;101.89;91;7.04;10.15;2;10;5.7
2002/01/01 @ 10:00:00;1;1;10;8.6;7.72;102.07;89;6.92;41.07;6;40;5.8
2002/01/01 @ 11:00:00;1;1;11;8.9;7.85;102.06;87;6.88;169.33;209;118;5.8
2002/01/01 @ 12:00:00;1;1;12;10.2;8.84;102.11;84;7.65;213.14;323;124;6.3
2002/01/01 @ 13:00:00;1;1;13;11.1;9.51;102.09;82;8.18;168.31;151;128;6.5
2002/01/01 @ 14:00:00;1;1;14;11.3;9.61;102.08;81;8.19;141.37;166;105;6.4
2002/01/01 @ 15:00:00;1;1;15;10.6;9.04;102.15;82;7.69;108.82;345;62;5.9
2002/01/01 @ 16:00:00;1;1;16;9.4;8.07;102.2;84;6.86;21.18;97;19;5.3
2002/01/01 @ 17:00:00;1;1;17;8.6;7.56;102.16;87;6.59;0;0;0;5.1
2002/01/01 @ 18:00:00;1;1;18;8.7;7.74;102.13;88;6.85;0;0;0;5.6
2002/01/01 @ 19:00:00;1;1;19;8.7;7.82;102.11;89;7.02;0;0;0;5.6
2002/01/01 @ 20:00:00;1;1;20;8.6;7.8;102.11;90;7.08;0;0;0;5.3
2002/01/01 @ 21:00:00;1;1;21;8.7;7.9;102.01;90;7.18;0;0;0;5.2
2002/01/01 @ 22:00:00;1;1;22;9;8.27;102.09;91;7.64;0;0;0;5.1
2002/01/01 @ 23:00:00;1;1;23;9.2;8.47;102.11;91;7.84;0;0;0;5
2002/01/02 @ 00:00:00;1;2;0;9.5;8.59;102.18;89;7.81;0;0;0;4.8
2002/01/02 @ 01:00:00;1;2;1;9.8;8.54;102.23;85;7.43;0;0;0;5.4
2002/01/02 @ 02:00:00;1;2;2;9.6;8.27;102.28;84;7.06;0;0;0;5.7
2002/01/02 @ 03:00:00;1;2;3;9;7.78;102.3;85;6.64;0;0;0;5.3
2002/01/02 @ 04:00:00;1;2;4;8.4;7.29;102.41;86;6.22;0;0;0;5
2002/01/02 @ 05:00:00;1;2;5;8;6.98;102.49;87;5.99;0;0;0;4.4
2002/01/02 @ 06:00:00;1;2;6;8.3;7.43;102.7;89;6.62;0;0;0;3.9
2002/01/02 @ 07:00:00;1;2;7;8.4;7.61;102.58;90;6.88;0;0;0;3.8
2002/01/02 @ 08:00:00;1;2;8;8.6;7.96;102.46;92;7.4;0;0;0;3.7
2002/01/02 @ 09:00:00;1;2;9;9;8.44;102.64;93;7.96;13.23;3;13;3.7
2002/01/02 @ 10:00:00;1;2;10;8.9;8.26;102.66;92;7.7;48.61;9;47;4
2002/01/02 @ 11:00:00;1;2;11;9.1;8.37;102.55;91;7.74;111.61;43;101;4.1
2002/01/02 @ 12:00:00;1;2;12;9.1;8.37;102.54;91;7.74;82.33;12;79;3.9
2002/01/02 @ 13:00:00;1;2;13;9;8.27;102.59;91;7.64;56.34;5;55;3.7
2002/01/02 @ 14:00:00;1;2;14;9.5;8.84;102.62;92;8.3;46.11;5;45;3
2002/01/02 @ 15:00:00;1;2;15;9.1;8.62;102.63;94;8.22;37.24;9;36;3
2002/01/02 @ 16:00:00;1;2;16;9;8.52;102.62;94;8.12;5.17;7;5;3
2002/01/02 @ 17:00:00;1;2;17;8.7;8.22;102.55;94;7.82;0;0;0;3.1
2002/01/02 @ 18:00:00;1;2;18;8.7;8.22;102.73;94;7.82;0;0;0;3
2002/01/02 @ 19:00:00;1;2;19;8.5;7.95;102.86;93;7.46;0;0;0;3
2002/01/02 @ 20:00:00;1;2;20;7.9;7.28;102.87;92;6.71;0;0;0;3.3
2002/01/02 @ 21:00:00;1;2;21;7.6;6.83;102.86;90;6.09;0;0;0;3.6
2002/01/02 @ 22:00:00;1;2;22;6.2;5.25;102.89;87;4.21;0;0;0;3.2
2002/01/02 @ 23:00:00;1;2;23;5.2;4.43;102.9;89;3.54;0;0;0;3
2002/01/03 @ 00:00:00;1;3;0;4.3;3.83;102.82;93;3.27;0;0;0;3.1
2002/01/03 @ 01:00:00;1;3;1;4.1;3.57;102.83;92;2.92;0;0;0;3.2
2002/01/03 @ 02:00:00;1;3;2;3.7;2.98;102.86;89;2.05;0;0;0;3.2
