Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/01/01 @ 00:00:00;1;1;0;-22.2;-22.72;100.55;59;-27.38;0;0;0;3.1
2002/01/01 @ 01:00:00;1;1;1;-22.6;-23.08;100.58;61;-27.43;0;0;0;3.1
2002/01/01 @ 02:00:00;1;1;2;-23.1;-23.54;100.49;63;-27.6;0;0;0;3.6
2002/01/01 @ 03:00:00;1;1;3;-22.5;-22.96;100.5;63;-27.03;0;0;0;3.6
2002/01/01 @ 04:00:00;1;1;4;-22.7;-23.15;100.53;63;-27.22;0;0;0;3.6
2002/01/01 @ 05:00:00;1;1;5;-23.7;-24.1;100.57;64;-28.01;0;0;0;3.6
2002/01/01 @ 06:00:00;1;1;6;-22.3;-22.72;100.42;67;-26.24;59;0;59;3.6
2002/01/01 @ 07:00:00;1;1;7;-19.4;-19.87;100.56;71;-22.89;103;0;103;3.3
2002/01/01 @ 08:00:00;1;1;8;-19.3;-19.71;100.55;75;-22.24;130;0;130;3.6
2002/01/01 @ 09:00:00;1;1;9;-19.9;-20.32;100.41;73;-23.09;232.23;132;212;4.2
2002/01/01 @ 10:00:00;1;1;10;-18.9;-19.39;100.43;71;-22.41;316.9;377;226;4.4
2002/01/01 @ 11:00:00;1;1;11;-14.3;-15.05;100.37;69;-18.27;398.96;506;251;4.4
2002/01/01 @ 12:00:00;1;1;12;-13.7;-14.54;100.25;67;-18;316.59;565;145;5.3
2002/01/01 @ 13:00:00;1;1;13;-13.9;-14.72;100.13;67;-18.19;240.28;435;121;5.7
2002/01/01 @ 14:00:00;1;1;14;-13.7;-14.54;100.03;67;-18;188.74;329;121;6.1
2002/01/01 @ 15:00:00;1;1;15;-13.4;-14.23;99.92;68;-17.56;127.98;454;81;6.1
2002/01/01 @ 16:00:00;1;1;16;-13.2;-14.02;99.7;69;-17.21;91;274;91;6.1
2002/01/01 @ 17:00:00;1;1;17;-12.6;-13.43;99.56;70;-16.47;0;0;0;6.7
2002/01/01 @ 18:00:00;1;1;18;-12.5;-13.16;99.68;76;-15.49;0;0;0;5.6
2002/01/01 @ 19:00:00;1;1;19;-12.8;-13.29;99.68;82;-14.97;0;0;0;5.4
2002/01/01 @ 20:00:00;1;1;20;-12.8;-13.12;99.69;88;-14.2;0;0;0;5.4
2002/01/01 @ 21:00:00;1;1;21;-12.3;-12.64;99.64;88;-13.71;0;0;0;5.3
2002/01/01 @ 22:00:00;1;1;22;-10.7;-11.04;99.59;89;-12;0;0;0;5.3
2002/01/01 @ 23:00:00;1;1;23;-9.7;-10.07;99.56;89;-11.01;0;0;0;5.4
2002/01/02 @ 00:00:00;1;2;0;-9.7;-10.07;99.56;89;-11.01;0;0;0;5.4
2002/01/02 @ 01:00:00;1;2;1;-9.7;-10.1;99.65;88;-11.13;0;0;0;6.2
2002/01/02 @ 02:00:00;1;2;2;-9.5;-9.97;99.69;86;-11.19;0;0;0;6.7
2002/01/02 @ 03:00:00;1;2;3;-10;-10.72;99.69;78;-12.77;0;0;0;7.2
2002/01/02 @ 04:00:00;1;2;4;-10.5;-11.42;99.84;71;-14.29;0;0;0;7.8
2002/01/02 @ 05:00:00;1;2;5;-10.1;-11.34;99.92;62;-15.37;0;0;0;8.3
2002/01/02 @ 06:00:00;1;2;6;-13.4;-14.36;100.29;63;-18.36;54;0;54;7.2
2002/01/02 @ 07:00:00;1;2;7;-14.1;-15.01;100.45;63;-19.03;103;0;103;6.7
2002/01/02 @ 08:00:00;1;2;8;-14.2;-15.13;100.66;62;-19.29;126;0;126;6.1
2002/01/02 @ 09:00:00;1;2;9;-14;-15.11;100.84;55;-20.35;232.46;133;212;4.7
2002/01/02 @ 10:00:00;1;2;10;-14.5;-15.67;100.89;51;-21.59;316.47;378;225;3.6
2002/01/02 @ 11:00:00;1;2;11;-15.2;-16.35;100.94;49;-22.65;400.88;507;252;3.1
2002/01/02 @ 12:00:00;1;2;12;-16;-17.13;100.96;47;-23.82;342.09;567;169;2.5
2002/01/02 @ 13:00:00;1;2;13;-16.2;-17.27;101.09;49;-23.58;277.56;578;118;2.5
2002/01/02 @ 14:00:00;1;2;14;-19.1;-20.05;100.98;43;-27.54;219.37;545;106;1.4
2002/01/02 @ 15:00:00;1;2;15;-16.4;-17.43;101.08;50;-23.57;165.33;457;117;2.5
2002/01/02 @ 16:00:00;1;2;16;-14.4;-15.5;101.03;54;-20.91;120;278;120;4.2
2002/01/02 @ 17:00:00;1;2;17;-14.1;-15;101.03;63;-19.03;0;0;0;5.6
2002/01/02 @ 18:00:00;1;2;18;-13.5;-14.37;100.93;66;-17.97;0;0;0;6.7
2002/01/02 @ 19:00:00;1;2;19;-12.5;-13.32;100.91;70;-16.38;0;0;0;7.8
2002/01/02 @ 20:00:00;1;2;20;-11.3;-12.14;100.92;72;-14.91;0;0;0;8.3
2002/01/02 @ 21:00:00;1;2;21;-12.3;-13.05;100.87;73;-15.73;0;0;0;7.8
2002/01/02 @ 22:00:00;1;2;22;-13;-13.66;100.8;75;-16.12;0;0;0;6.7
2002/01/02 @ 23:00:00;1;2;23;-13.2;-13.8;100.73;77;-16.04;0;0;0;6.1
2002/01/03 @ 00:00:00;1;3;0;-12.9;-13.46;100.69;79;-15.47;0;0;0;6.1
2002/01/03 @ 01:00:00;1;3;1;-12.9;-13.46;100.65;79;-15.47;0;0;0;5.7
2002/01/03 @ 02:00:00;1;3;2;-12.5;-13.02;100.62;81;-14.81;0;0;0;6.2
2002/01/03 @ 03:00:00;1;3;3;-11.5;-12.15;100.69;78;-14.24;0;0;0;7.2
2002/01/03 @ 04:00:00;1;3;4;-11.3;-12.02;100.72;76;-14.32;0;0;0;7.5
2002/01/03 @ 05:00:00;1;3;5;-10.9;-11.76;100.78;72;-14.52;0;0;0;8.3
2002/01/03 @ 06:00:00;1;3;6;-10.3;-11.29;100.67;69;-14.4;8;0;8;8.9
2002/01/03 @ 07:00:00;1;3;7;-9.2;-10.3;100.5;68;-13.5;62;0;62;9.2
2002/01/03 @ 08:00:00;1;3;8;-8.4;-9.6;100.42;67;-12.89;92;0;92;9.6
2002/01/03 @ 09:00:00;1;3;9;-8.5;-9.69;100.35;67;-12.98;169.7;134;149;9.6
2002/01/03 @ 10:00:00;1;3;10;-7.9;-9.14;100.24;67;-12.4;233.1;379;141;9.6
2002/01/03 @ 11:00:00;1;3;11;-6.8;-8.17;100.13;66;-11.51;257.86;508;108;9.6
2002/01/03 @ 12:00:00;1;3;12;-7.1;-8.37;99.96;68;-11.47;211.13;235;139;9.6
2002/01/03 @ 13:00:00;1;3;13;-6.9;-8.18;99.8;68;-11.27;180.75;125;146;9.6
2002/01/03 @ 14:00:00;1;3;14;-5;-6.49;99.53;67;-9.6;143.03;81;126;9.6
2002/01/03 @ 15:00:00;1;3;15;-4;-5.43;99.46;70;-8.14;108.03;102;97;10.9
2002/01/03 @ 16:00:00;1;3;16;-2.4;-3.85;99.55;72;-6.26;49;283;49;11.8
2002/01/03 @ 17:00:00;1;3;17;-1.9;-3.29;99.44;74;-5.45;0;0;0;12.7
2002/01/03 @ 18:00:00;1;3;18;-2.6;-3.52;99.18;82;-4.94;0;0;0;13.2
2002/01/03 @ 19:00:00;1;3;19;-3.3;-4.14;98.96;83;-5.48;0;0;0;13.8
2002/01/03 @ 20:00:00;1;3;20;-5.4;-5.97;99.16;87;-7.01;0;0;0;13.2
2002/01/03 @ 21:00:00;1;3;21;-2.3;-2.97;99.53;87;-3.95;0;0;0;10.9
2002/01/03 @ 22:00:00;1;3;22;-5.8;-6.7;99.76;79;-8.51;0;0;0;9.6
2002/01/03 @ 23:00:00;1;3;23;-6;-7.01;99.82;76;-9.15;0;0;0;9.2
2002/01/04 @ 00:00:00;1;4;0;-7.7;-8.77;99.99;72;-11.41;0;0;0;8.6
2002/01/04 @ 01:00:00;1;4;1;-8.6;-9.75;100.18;68;-12.92;0;0;0;8.3
2002/01/04 @ 02:00:00;1;4;2;-11.5;-12.54;100.44;65;-16.21;0;0;0;7.5
2002/01/04 @ 03:00:00;1;4;3;-10.5;-11.51;100.46;68;-14.75;0;0;0;7.8
2002/01/04 @ 04:00:00;1;4;4;-10.5;-11.48;100.49;69;-14.6;0;0;0;8.3
2002/01/04 @ 05:00:00;1;4;5;-11.4;-12.29;100.5;70;-15.31;0;0;0;8.1
2002/01/04 @ 06:00:00;1;4;6;-11.1;-12.01;100.53;70;-15.02;0;0;0;8.3
2002/01/04 @ 07:00:00;1;4;7;-10.5;-11.45;100.46;70;-14.44;45;0;45;7.8
2002/01/04 @ 08:00:00;1;4;8;-11.4;-12.26;100.49;71;-15.16;81;0;81;7.5
2002/01/04 @ 09:00:00;1;4;9;-10.3;-11.29;100.49;69;-14.4;181.97;135;161;7.8
2002/01/04 @ 10:00:00;1;4;10;-9.3;-10.47;100.41;66;-13.92;250.77;380;158;7.8
2002/01/04 @ 11:00:00;1;4;11;-8.9;-10.24;100.31;62;-14.22;283.91;509;133;7.2
2002/01/04 @ 12:00:00;1;4;12;-10.1;-11.41;100.41;60;-15.72;240.62;368;127;6.7
2002/01/04 @ 13:00:00;1;4;13;-11.3;-12.53;100.55;59;-17.05;206.23;215;146;6.1
2002/01/04 @ 14:00:00;1;4;14;-11.7;-12.9;100.59;59;-17.43;173.81;192;133;5.4
2002/01/04 @ 15:00:00;1;4;15;-12.1;-13.18;100.63;62;-17.28;124.77;242;98;5.4
2002/01/04 @ 16:00:00;1;4;16;-12.3;-13.31;100.62;64;-17.14;73;287;73;5.4
2002/01/04 @ 17:00:00;1;4;17;-12.8;-13.74;100.61;65;-17.46;0;0;0;5.4
2002/01/04 @ 18:00:00;1;4;18;-12.1;-13.06;100.64;66;-16.62;0;0;0;7.2
2002/01/04 @ 19:00:00;1;4;19;-10.1;-11.17;100.69;67;-14.53;0;0;0;7.8
2002/01/04 @ 20:00:00;1;4;20;-8.6;-9.78;100.6;67;-13.08;0;0;0;8.9
2002/01/04 @ 21:00:00;1;4;21;-8.4;-9.6;100.63;67;-12.89;0;0;0;8.3
2002/01/04 @ 22:00:00;1;4;22;-8.8;-9.97;100.69;67;-13.27;0;0;0;8.1
2002/01/04 @ 23:00:00;1;4;23;-8.8;-9.93;100.75;68;-13.11;0;0;0;7.8
2002/01/05 @ 00:00:00;1;5;0;-8.9;-9.92;100.65;71;-12.73;0;0;0;7.2
2002/01/05 @ 01:00:00;1;5;1;-9.2;-10.09;100.58;74;-12.57;0;0;0;6.7
2002/01/05 @ 02:00:00;1;5;2;-9;-9.77;100.49;78;-11.79;0;0;0;6.2
