Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/01/01 @ 00:00:00;1;1;0;8.2;7.8;99.75;95;7.47;0;0;0;5.2
2002/01/01 @ 01:00:00;1;1;1;8.3;7.82;99.83;94;7.42;0;0;0;4.9
2002/01/01 @ 02:00:00;1;1;2;7.8;7.17;99.85;92;6.61;0;0;0;4.6
2002/01/01 @ 03:00:00;1;1;3;7.8;7.17;100.04;92;6.61;0;0;0;4.1
2002/01/01 @ 04:00:00;1;1;4;7.8;7.17;100.02;92;6.61;0;0;0;4
2002/01/01 @ 05:00:00;1;1;5;7.3;6.69;100.08;92;6.11;0;0;0;3.9
2002/01/01 @ 06:00:00;1;1;6;6.3;5.78;100.09;93;5.27;0;0;0;3.4
2002/01/01 @ 07:00:00;1;1;7;5.6;5.24;99.88;95;4.88;0;0;0;2.8
2002/01/01 @ 08:00:00;1;1;8;4.8;4.59;99.73;97;4.38;6;0;6;2.2
2002/01/01 @ 09:00:00;1;1;9;4.4;4.4;99.64;100;4.41;37.98;107;31;1.9
2002/01/01 @ 10:00:00;1;1;10;4.3;4.3;99.47;100;4.31;98.36;225;67;1.4
2002/01/01 @ 11:00:00;1;1;11;5.4;5.4;99.29;100;5.42;130.41;244;86;0.2
2002/01/01 @ 12:00:00;1;1;12;5.8;5.8;99.5;100;5.82;83.23;38;76;0.8
2002/01/01 @ 13:00:00;1;1;13;6;6;99.65;100;6.02;48.96;12;47;1.5
2002/01/01 @ 14:00:00;1;1;14;5.9;5.9;99.19;100;5.92;26.93;9;26;0.4
2002/01/01 @ 15:00:00;1;1;15;5.7;5.7;99.25;100;5.72;0;0;0;0.8
2002/01/01 @ 16:00:00;1;1;16;6.1;6.1;98.81;100;6.12;0;0;0;0.6
2002/01/01 @ 17:00:00;1;1;17;6.5;6.5;99.12;100;6.52;0;0;0;2.3
2002/01/01 @ 18:00:00;1;1;18;6.1;6.1;99.12;100;6.12;0;0;0;2.5
2002/01/01 @ 19:00:00;1;1;19;6.1;6.1;99.07;100;6.12;0;0;0;2.3
2002/01/01 @ 20:00:00;1;1;20;6.3;6.3;98.65;100;6.32;0;0;0;1.9
2002/01/01 @ 21:00:00;1;1;21;5.4;5.4;98.98;100;5.42;0;0;0;2.7
2002/01/01 @ 22:00:00;1;1;22;4.6;4.6;99.1;100;4.61;0;0;0;3.4
