Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/01/01 @ 00:00:00;1;1;0;-8.3;-9.8;100.92;59;-14.18;0;0;0;7.2
2002/01/01 @ 01:00:00;1;1;1;-8.9;-10.24;100.92;62;-14.22;0;0;0;7.7
2002/01/01 @ 02:00:00;1;1;2;-10.6;-11.89;101.25;59;-16.38;0;0;0;7.7
2002/01/01 @ 03:00:00;1;1;3;-11.7;-12.92;101.25;58;-17.61;0;0;0;7.2
2002/01/01 @ 04:00:00;1;1;4;-12.8;-13.98;101.25;56;-19.02;0;0;0;6.7
2002/01/01 @ 05:00:00;1;1;5;-13.3;-14.36;101.59;59;-18.95;0;0;0;6.7
2002/01/01 @ 06:00:00;1;1;6;-13.3;-14.36;101.59;59;-18.95;0;0;0;6.7
2002/01/01 @ 07:00:00;1;1;7;-13.3;-14.36;101.59;59;-18.95;0;0;0;6.2
2002/01/01 @ 08:00:00;1;1;8;-13.3;-14.36;101.59;59;-18.95;125;0;125;6.7
2002/01/01 @ 09:00:00;1;1;9;-11.7;-12.92;101.59;58;-17.61;218.13;319;143;6.7
2002/01/01 @ 10:00:00;1;1;10;-10;-11.2;101.59;63;-15.1;282;506;121;6.7
2002/01/01 @ 11:00:00;1;1;11;-8.9;-10.02;101.25;68;-13.21;351.12;600;135;6.2
2002/01/01 @ 12:00:00;1;1;12;-8.3;-9.57;101.59;65;-13.12;267.67;289;164;5.7
2002/01/01 @ 13:00:00;1;1;13;-8.9;-10.2;101.59;63;-14.04;205.58;107;172;5.1
2002/01/01 @ 14:00:00;1;1;14;-9.4;-10.76;101.59;60;-15.05;138.38;41;129;5.1
2002/01/01 @ 15:00:00;1;1;15;-8.3;-9.57;101.59;65;-13.12;92.49;32;89;5.7
2002/01/01 @ 16:00:00;1;1;16;-7.8;-9.04;101.25;67;-12.31;23;5;23;5.7
2002/01/01 @ 17:00:00;1;1;17;-7.2;-8.41;101.25;69;-11.4;0;0;0;5.7
2002/01/01 @ 18:00:00;1;1;18;-6.1;-7.31;101.25;71;-10.01;0;0;0;5.7
2002/01/01 @ 19:00:00;1;1;19;-5.6;-6.8;101.25;72;-9.37;0;0;0;5.7
2002/01/01 @ 20:00:00;1;1;20;-4.4;-5.64;101.25;73;-8.04;0;0;0;5.7
2002/01/01 @ 21:00:00;1;1;21;-4.4;-5.83;101.25;69;-8.69;0;0;0;5.7
2002/01/01 @ 22:00:00;1;1;22;-4.4;-5.97;101.25;66;-9.19;0;0;0;6.2
2002/01/01 @ 23:00:00;1;1;23;-3.9;-5.32;101.25;70;-8.04;0;0;0;6.7
2002/01/02 @ 00:00:00;1;2;0;-3.9;-5.32;101.25;70;-8.04;0;0;0;6.7
2002/01/02 @ 01:00:00;1;2;1;-2.8;-4.31;101.25;70;-6.97;0;0;0;7.2
2002/01/02 @ 02:00:00;1;2;2;-2.2;-3.76;101.25;70;-6.39;0;0;0;7.2
2002/01/02 @ 03:00:00;1;2;3;-2.2;-3.6;101.25;73;-5.9;0;0;0;6.7
2002/01/02 @ 04:00:00;1;2;4;-1.1;-2.59;101.25;73;-4.83;0;0;0;6.7
2002/01/02 @ 05:00:00;1;2;5;2.2;0.3;101.25;70;-2.38;0;0;0;6.7
2002/01/02 @ 06:00:00;1;2;6;2.8;1.12;101.25;74;-1.2;0;0;0;6.7
2002/01/02 @ 07:00:00;1;2;7;0.6;-1.05;101.25;71;-3.58;0;0;0;6.7
2002/01/02 @ 08:00:00;1;2;8;1.7;-0.27;101.25;68;-3.15;0;0;0;7.2
