Time,MM,DD,hh,T_dry,T_wb,w,P,RH,T_dp,ghi,dni,dhi,v_wind
2002/01/01 @ 00:00:00,1,1,0,23.2,23.2,0.01804670264955288,100.9,1.0,23.2,0.0,0,0,2.8
2002/01/01 @ 01:00:00,1,1,1,23.1,23.1,0.01793474192095847,101.0,1.0,23.1,0.0,0,0,3.3
2002/01/01 @ 02:00:00,1,1,2,23.2,23.2,0.01804670264955288,101.0,1.0,23.2,0.0,0,0,4.1
2002/01/01 @ 03:00:00,1,1,3,24.0,24.0,0.018965440693534227,100.9,1.0,24.0,0.0,0,0,3.4
2002/01/01 @ 04:00:00,1,1,4,24.0,23.84,0.0187700625890236,100.9,0.99,23.84,0.0,0,0,2.9
2002/01/01 @ 05:00:00,1,1,5,24.1,23.94,0.01888658769434564,100.8,0.99,23.93,0.0,0,0,2.3
2002/01/01 @ 06:00:00,1,1,6,24.1,23.77,0.018690081139761044,100.8,0.98,23.77,0.0,0,0,1.9
2002/01/01 @ 07:00:00,1,1,7,25.5,25.17,0.02037355793016391,100.9,0.98,25.16,0.0,0,0,1.5
2002/01/01 @ 08:00:00,1,1,8,27.7,25.58,0.020841853765005875,100.9,0.88,25.53,256.55,231,184,2.9
2002/01/01 @ 09:00:00,1,1,9,28.1,25.4,0.02059890996893455,100.9,0.85,25.34,493.82,588,185,2.9
2002/01/01 @ 10:00:00,1,1,10,28.3,25.01,0.02008864471967811,101.0,0.82,24.93,554.27,519,191,3.1
2002/01/01 @ 11:00:00,1,1,11,28.4,24.3,0.019193348901482235,101.0,0.78,24.19,490.7,186,337,3.1
2002/01/01 @ 12:00:00,1,1,12,28.2,24.11,0.01896457264115392,101.0,0.78,24.0,378.52,43,340,2.8
2002/01/01 @ 13:00:00,1,1,13,27.9,23.82,0.01862603006879666,101.0,0.78,23.71,206.42,6,201,2.6
2002/01/01 @ 14:00:00,1,1,14,27.8,23.72,0.018514402746611563,101.0,0.78,23.61,80.85,1,80,2.4
2002/01/01 @ 15:00:00,1,1,15,27.7,23.83,0.01864639491517538,100.9,0.79,23.73,18.0,0,18,2.4
2002/01/01 @ 16:00:00,1,1,16,27.6,23.74,0.018534474336981924,100.9,0.79,23.63,10.0,0,10,2.4
2002/01/01 @ 17:00:00,1,1,17,27.5,23.84,0.01866336399560847,100.9,0.8,23.74,8.0,0,8,2.4
