Time,MM,DD,hh,T_dry,T_wb,w,P,RH,T_dp,ghi,dni,dhi,v_wind
2002/01/01 @ 00:00:00,1,1,0,18.9,15.45,0.009570126704067317,101.33,0.7,13.34,0.0,0,0,3.4
2002/01/01 @ 01:00:00,1,1,1,18.8,15.48,0.009647533094625212,101.33,0.71,13.47,0.0,0,0,3.3
2002/01/01 @ 02:00:00,1,1,2,18.7,15.39,0.009586436827574497,101.33,0.71,13.37,0.0,0,0,3.2
2002/01/01 @ 03:00:00,1,1,3,18.7,15.39,0.009586436827574497,101.33,0.71,13.37,0.0,0,0,3.2
2002/01/01 @ 04:00:00,1,1,4,19.0,15.54,0.009631022873800825,101.33,0.7,13.44,0.0,0,0,3.2
2002/01/01 @ 05:00:00,1,1,5,19.6,16.2,0.01014896833182772,101.33,0.71,14.23,0.0,0,0,3.3
2002/01/01 @ 06:00:00,1,1,6,20.5,17.02,0.010740826164635425,101.33,0.71,15.09,0.0,0,0,3.4
2002/01/01 @ 07:00:00,1,1,7,20.9,17.51,0.011171548783166452,101.33,0.72,15.69,68.99,69,64,3.7
2002/01/01 @ 08:00:00,1,1,8,21.5,17.53,0.010942847051703489,101.33,0.68,15.38,242.88,279,167,4.4
2002/01/01 @ 09:00:00,1,1,9,22.5,17.59,0.010599288930567803,101.33,0.62,14.89,398.65,515,171,5.2
2002/01/01 @ 10:00:00,1,1,10,22.6,17.39,0.010315256846862039,101.33,0.6,14.48,512.73,658,137,5.4
2002/01/01 @ 11:00:00,1,1,11,22.7,17.19,0.01002757531601794,101.33,0.58,14.05,584.47,676,145,5.6
2002/01/01 @ 12:00:00,1,1,12,22.5,17.31,0.010251740518382329,101.33,0.6,14.38,617.41,609,207,6.1
2002/01/01 @ 13:00:00,1,1,13,22.3,17.42,0.010468960586394772,101.33,0.62,14.7,570.0,593,190,6.2
2002/01/01 @ 14:00:00,1,1,14,22.0,17.15,0.010276150389407443,101.33,0.62,14.42,451.06,604,117,5.9
2002/01/01 @ 15:00:00,1,1,15,21.7,16.89,0.010086516921804432,101.33,0.62,14.14,320.41,529,100,5.7
2002/01/01 @ 16:00:00,1,1,16,21.2,17.26,0.010739932600288007,101.33,0.68,15.09,137.58,210,87,5.3
2002/01/01 @ 17:00:00,1,1,17,21.7,17.84,0.011245908822083104,101.33,0.69,15.79,0.0,0,0,4.8
2002/01/01 @ 18:00:00,1,1,18,21.2,17.26,0.010739932600288007,101.33,0.68,15.09,0.0,0,0,4.6
2002/01/01 @ 19:00:00,1,1,19,20.9,16.86,0.010382795488813056,101.33,0.67,14.58,0.0,0,0,4.4
2002/01/01 @ 20:00:00,1,1,20,20.4,16.54,0.01021517071409508,101.33,0.68,14.33,0.0,0,0,4.3
2002/01/01 @ 21:00:00,1,1,21,20.1,16.28,0.0100243724359776,101.33,0.68,14.04,0.0,0,0,4.2
