Time,MM,DD,hh,T_dry,T_wb,w,P,RH,T_dp,ghi,dni,dhi,v_wind
2002/01/01 @ 00:00:00,1,1,0,25.4,23.17,0.01706453814435452,100.76,0.83,22.31,0.0,0,0,1.3
2002/01/01 @ 01:00:00,1,1,1,25.1,22.61,0.016340049583282962,100.75,0.81,21.62,1.0,0,1,1.7
2002/01/01 @ 02:00:00,1,1,2,24.8,22.19,0.01583961488970835,100.74,0.8,21.13,0.0,0,0,2.3
2002/01/01 @ 03:00:00,1,1,3,24.7,22.09,0.015742864924827522,100.71,0.8,21.03,0.0,0,0,2.3
2002/01/01 @ 04:00:00,1,1,4,24.5,22.04,0.01575027004001557,100.67,0.81,21.04,0.0,0,0,2.2
2002/01/01 @ 05:00:00,1,1,5,24.0,21.43,0.015080381054925276,100.64,0.8,20.35,0.0,0,0,2.0
2002/01/01 @ 06:00:00,1,1,6,24.3,22.12,0.015951983469162507,100.68,0.83,21.24,0.0,0,0,1.7
2002/01/01 @ 07:00:00,1,1,7,24.7,22.77,0.016753298025174775,100.72,0.85,22.02,23.56,2,23,1.6
2002/01/01 @ 08:00:00,1,1,8,25.1,22.88,0.01675437622330882,100.76,0.83,22.02,29.5,1,29,1.3
2002/01/01 @ 09:00:00,1,1,9,25.4,22.89,0.016642341510428843,100.79,0.81,21.91,85.36,2,84,1.5
2002/01/01 @ 10:00:00,1,1,10,26.0,23.03,0.016605700195868656,100.82,0.78,21.87,179.75,7,174,1.8
2002/01/01 @ 11:00:00,1,1,11,27.5,23.84,0.017224845379091726,100.86,0.74,22.46,255.98,11,246,2.0
2002/01/01 @ 12:00:00,1,1,12,28.0,23.99,0.017256866314530547,100.83,0.72,22.49,282.18,12,271,1.3
2002/01/01 @ 13:00:00,1,1,13,28.5,24.29,0.017527008467189784,100.8,0.71,22.73,274.73,12,264,0.8
2002/01/01 @ 14:00:00,1,1,14,29.4,24.95,0.018224152368655096,100.78,0.7,23.36,230.16,9,223,0.2
2002/01/01 @ 15:00:00,1,1,15,28.9,24.34,0.01743042866959987,100.73,0.69,22.65,184.16,8,179,0.3
2002/01/01 @ 16:00:00,1,1,16,28.2,24.17,0.017464794526250316,100.69,0.72,22.68,111.25,5,109,0.5
2002/01/01 @ 17:00:00,1,1,17,27.6,24.08,0.017569509262833898,100.64,0.75,22.77,36.23,1,36,0.5
2002/01/01 @ 18:00:00,1,1,18,26.6,22.86,0.0160887328560019,100.68,0.73,21.37,47.0,68,47,1.1
2002/01/01 @ 19:00:00,1,1,19,26.3,22.44,0.015577508941632229,100.71,0.72,20.86,0.0,0,0,1.8
2002/01/01 @ 20:00:00,1,1,20,25.8,22.27,0.015542676733873372,100.75,0.74,20.83,0.0,0,0,2.6
2002/01/01 @ 21:00:00,1,1,21,24.9,21.44,0.014713356250048376,100.79,0.74,19.96,6.0,0,6,2.6
2002/01/01 @ 22:00:00,1,1,22,24.5,21.07,0.01435771355557662,100.84,0.74,19.58,0.0,0,0,2.5
2002/01/01 @ 23:00:00,1,1,23,24.2,20.8,0.014096071468980136,100.88,0.74,19.29,0.0,0,0,2.6
2002/01/02 @ 00:00:00,1,2,0,23.5,20.43,0.01387521368890852,100.87,0.76,19.04,1.0,0,1,2.3
2002/01/02 @ 01:00:00,1,2,1,23.0,19.96,0.01345326301514607,100.86,0.76,18.56,0.0,0,0,1.9
2002/01/02 @ 02:00:00,1,2,2,23.0,20.1,0.013634160158457467,100.85,0.77,18.77,0.0,0,0,1.9
2002/01/02 @ 03:00:00,1,2,3,22.4,19.54,0.013136308242186603,100.86,0.77,18.19,14.0,0,14,1.7
2002/01/02 @ 04:00:00,1,2,4,22.7,19.95,0.013560752686355936,100.86,0.78,18.69,0.0,0,0,1.4
2002/01/02 @ 05:00:00,1,2,5,22.8,20.18,0.013823908945505718,100.86,0.79,18.99,0.0,0,0,1.2
2002/01/02 @ 06:00:00,1,2,6,23.6,21.59,0.015467143954725164,100.85,0.84,20.75,0.0,0,0,1.6
2002/01/02 @ 07:00:00,1,2,7,24.2,22.29,0.01624616754714602,100.84,0.85,21.53,51.59,13,48,2.1
2002/01/02 @ 08:00:00,1,2,8,25.7,23.17,0.016949668608061325,100.82,0.81,22.2,180.78,42,160,2.5
2002/01/02 @ 09:00:00,1,2,9,27.9,24.51,0.01813451409148361,100.78,0.76,23.28,338.96,91,277,2.6
2002/01/02 @ 10:00:00,1,2,10,29.4,24.63,0.017688653425356565,100.73,0.68,22.88,725.51,569,258,2.7
2002/01/02 @ 11:00:00,1,2,11,30.3,24.41,0.01696527538459571,100.68,0.62,22.21,1099.38,925,260,2.7
2002/01/02 @ 12:00:00,1,2,12,32.0,24.42,0.01626022674687949,100.62,0.54,21.54,1333.23,944,453,2.4
2002/01/02 @ 13:00:00,1,2,13,33.4,24.59,0.015956952315897863,100.57,0.49,21.24,1304.13,941,462,2.4
2002/01/02 @ 14:00:00,1,2,14,32.6,23.73,0.014920164200860944,100.52,0.48,20.18,1073.07,918,341,2.1
2002/01/02 @ 15:00:00,1,2,15,32.3,23.48,0.014663945374240499,100.5,0.48,19.91,819.31,868,258,2.3
2002/01/02 @ 16:00:00,1,2,16,31.7,23.19,0.014465215417075647,100.48,0.49,19.69,451.86,607,177,2.4
2002/01/02 @ 17:00:00,1,2,17,30.9,21.55,0.012370489591854866,100.47,0.44,17.26,226.0,323,152,2.6
2002/01/02 @ 18:00:00,1,2,18,29.7,22.66,0.014483559385159389,100.58,0.55,19.71,51.0,132,51,3.2
2002/01/02 @ 19:00:00,1,2,19,28.5,22.5,0.01474716935781231,100.7,0.6,20.0,0.0,0,0,3.4
2002/01/02 @ 20:00:00,1,2,20,26.4,20.99,0.013448320232963405,100.81,0.62,18.56,0.0,0,0,4.2
2002/01/02 @ 21:00:00,1,2,21,26.3,21.38,0.014028867621378492,100.87,0.65,19.21,0.0,0,0,3.3
2002/01/02 @ 22:00:00,1,2,22,25.4,20.88,0.013702514209115809,100.93,0.67,18.85,0.0,0,0,2.6
2002/01/02 @ 23:00:00,1,2,23,25.2,20.7,0.013536885602281726,101.0,0.67,18.66,0.0,0,0,2.0
2002/01/03 @ 00:00:00,1,3,0,24.9,21.01,0.014103342772746351,100.96,0.71,19.3,0.0,0,0,1.3
2002/01/03 @ 01:00:00,1,3,1,24.6,20.31,0.01324965106126831,100.92,0.68,18.32,0.0,0,0,0.7
2002/01/03 @ 02:00:00,1,3,2,24.8,20.92,0.01401749618919203,100.88,0.71,19.2,0.0,0,0,0.5
2002/01/03 @ 03:00:00,1,3,3,24.4,21.12,0.014467342581598415,100.85,0.75,19.7,0.0,0,0,0.5
2002/01/03 @ 04:00:00,1,3,4,24.3,21.99,0.015754922333234264,100.81,0.82,21.04,0.0,0,0,0.6
2002/01/03 @ 05:00:00,1,3,5,24.7,22.9,0.01695576902089684,100.78,0.86,22.21,0.0,0,0,0.7
2002/01/03 @ 06:00:00,1,3,6,25.2,22.84,0.01664865808197077,100.78,0.82,21.92,0.0,0,0,0.9
2002/01/03 @ 07:00:00,1,3,7,25.8,22.85,0.01640498183565373,100.79,0.78,21.68,140.45,235,76,1.3
2002/01/03 @ 08:00:00,1,3,8,27.8,23.65,0.016807950723029857,100.8,0.71,22.07,306.85,251,183,1.6
2002/01/03 @ 09:00:00,1,3,9,28.7,23.83,0.016711340169424386,100.77,0.67,21.97,519.33,399,248,1.7
2002/01/03 @ 10:00:00,1,3,10,29.9,24.23,0.016844476170617743,100.75,0.63,22.1,889.36,882,165,1.9
2002/01/03 @ 11:00:00,1,3,11,31.3,24.57,0.016798856500596284,100.73,0.58,22.06,1108.52,925,269,2.1
2002/01/03 @ 12:00:00,1,3,12,31.9,23.95,0.015552340753345373,100.68,0.52,20.83,1119.84,944,239,1.8
2002/01/03 @ 13:00:00,1,3,13,32.1,23.52,0.01480450153814118,100.64,0.49,20.06,941.92,828,200,1.5
2002/01/03 @ 14:00:00,1,3,14,31.0,23.2,0.014758640666016282,100.59,0.52,20.01,621.29,287,392,1.4
2002/01/03 @ 15:00:00,1,3,15,29.9,23.89,0.01629571991491735,100.63,0.61,21.57,376.98,74,329,1.4
2002/01/03 @ 16:00:00,1,3,16,27.8,22.87,0.0155946132360695,100.66,0.66,20.88,204.46,23,194,1.4
2002/01/03 @ 17:00:00,1,3,17,26.3,22.29,0.015355812866529619,100.69,0.71,20.63,58.69,3,58,1.6
2002/01/03 @ 18:00:00,1,3,18,25.2,22.0,0.015400299249282136,100.74,0.76,20.68,0.0,0,0,1.4
2002/01/03 @ 19:00:00,1,3,19,25.1,22.47,0.01613308777932208,100.79,0.8,21.42,0.0,0,0,1.3
2002/01/03 @ 20:00:00,1,3,20,25.1,22.61,0.016340049583282962,100.84,0.81,21.62,18.0,0,18,1.3
2002/01/03 @ 21:00:00,1,3,21,25.3,22.52,0.016122014492531467,100.88,0.79,21.41,0.0,0,0,0.9
2002/01/03 @ 22:00:00,1,3,22,25.5,22.71,0.016319934435440206,100.92,0.79,21.6,0.0,0,0,0.7
2002/01/03 @ 23:00:00,1,3,23,25.4,22.89,0.016642341510428843,100.96,0.81,21.91,0.0,0,0,0.5
2002/01/04 @ 00:00:00,1,4,0,25.2,22.84,0.01664865808197077,100.94,0.82,21.92,0.0,0,0,0.7
2002/01/04 @ 01:00:00,1,4,1,24.9,22.96,0.01696011841899087,100.92,0.85,22.21,0.0,0,0,0.9
2002/01/04 @ 02:00:00,1,4,2,24.8,23.13,0.017264053076429454,100.9,0.87,22.49,1.0,0,1,1.1
2002/01/04 @ 03:00:00,1,4,3,24.3,22.78,0.01693911884252887,100.89,0.88,22.19,0.0,0,0,1.0
2002/01/04 @ 04:00:00,1,4,4,24.5,22.84,0.01694875032656248,100.88,0.87,22.2,6.0,0,6,1.0
2002/01/04 @ 05:00:00,1,4,5,24.4,22.62,0.016646010343277617,100.87,0.86,21.91,1.0,0,1,0.9
2002/01/04 @ 06:00:00,1,4,6,24.5,22.71,0.01674869087454893,100.89,0.86,22.01,0.0,0,0,1.0
2002/01/04 @ 07:00:00,1,4,7,24.8,22.87,0.01685642189372344,100.92,0.85,22.11,34.36,5,33,1.0
2002/01/04 @ 08:00:00,1,4,8,24.9,22.96,0.01696011841899087,100.94,0.85,22.21,28.49,1,28,1.1
2002/01/04 @ 09:00:00,1,4,9,25.0,22.92,0.01685819132717414,100.92,0.84,22.12,50.68,1,50,1.2
2002/01/04 @ 10:00:00,1,4,10,25.2,22.84,0.01664865808197077,100.9,0.82,21.92,90.64,2,89,1.5
2002/01/04 @ 11:00:00,1,4,11,25.7,22.89,0.016520041841729248,100.88,0.79,21.79,129.82,2,128,1.6
2002/01/04 @ 12:00:00,1,4,12,26.6,23.16,0.01654124322970274,100.85,0.75,21.81,169.74,4,166,1.1
2002/01/04 @ 13:00:00,1,4,13,27.5,23.84,0.017224845379091726,100.82,0.74,22.46,192.49,5,188,0.8
2002/01/04 @ 14:00:00,1,4,14,27.9,24.51,0.01813451409148361,100.79,0.76,23.28,206.6,7,201,0.2
2002/01/04 @ 15:00:00,1,4,15,28.1,24.24,0.017608495016036157,100.76,0.73,22.81,183.2,8,178,0.5
2002/01/04 @ 16:00:00,1,4,16,27.7,23.72,0.016949156854949497,100.74,0.72,22.2,127.74,6,125,0.5
2002/01/04 @ 17:00:00,1,4,17,26.9,23.28,0.01661328731323247,100.71,0.74,21.88,43.47,2,43,0.3
2002/01/04 @ 18:00:00,1,4,18,25.9,22.51,0.015854073710373343,100.75,0.75,21.14,28.0,8,28,0.5
2002/01/04 @ 19:00:00,1,4,19,25.2,21.43,0.014570768011812875,100.79,0.72,19.81,0.0,0,0,0.6
2002/01/04 @ 20:00:00,1,4,20,25.1,21.77,0.015100288701226304,100.82,0.75,20.37,0.0,0,0,0.7
2002/01/04 @ 21:00:00,1,4,21,25.1,22.05,0.015513006864989751,100.85,0.77,20.8,0.0,0,0,0.7
2002/01/04 @ 22:00:00,1,4,22,25.1,22.47,0.01613308777932208,100.88,0.8,21.42,1.0,0,1,0.7
2002/01/04 @ 23:00:00,1,4,23,25.0,22.51,0.016240391439546538,100.91,0.81,21.52,0.0,0,0,0.7
2002/01/05 @ 00:00:00,1,5,0,24.7,22.64,0.016550955317033003,100.9,0.84,21.82,0.0,0,0,0.8
2002/01/05 @ 01:00:00,1,5,1,24.5,22.71,0.01674869087454893,100.89,0.86,22.01,0.0,0,0,0.9
2002/01/05 @ 02:00:00,1,5,2,23.8,22.55,0.016808057739535955,100.89,0.9,22.07,0.0,0,0,1.0
2002/01/05 @ 03:00:00,1,5,3,23.8,22.68,0.016999918632643878,100.89,0.91,22.25,0.0,0,0,0.9
2002/01/05 @ 04:00:00,1,5,4,23.9,22.78,0.017105322045883106,100.9,0.91,22.35,0.0,0,0,0.9
2002/01/05 @ 05:00:00,1,5,5,24.0,22.88,0.01721131563773143,100.9,0.91,22.45,0.0,0,0,0.8
2002/01/05 @ 06:00:00,1,5,6,24.2,22.94,0.017228296804039842,100.94,0.9,22.46,0.0,0,0,0.8
2002/01/05 @ 07:00:00,1,5,7,24.7,23.3,0.017563952954742938,100.98,0.89,22.77,55.88,18,51,0.9
2002/01/05 @ 08:00:00,1,5,8,24.8,23.4,0.017672204825543006,101.03,0.89,22.87,28.49,1,28,0.8
2002/01/05 @ 09:00:00,1,5,9,25.2,23.78,0.018111271652021935,100.99,0.89,23.26,46.68,1,46,1.2
2002/01/05 @ 10:00:00,1,5,10,25.5,24.07,0.01844702141941154,100.95,0.89,23.56,106.64,2,105,1.7
2002/01/05 @ 11:00:00,1,5,11,26.3,24.71,0.01914574040944719,100.91,0.88,24.15,170.63,4,167,2.3
2002/01/05 @ 12:00:00,1,5,12,26.9,24.17,0.01799929390838813,100.84,0.8,23.16,212.61,6,207,2.0
2002/01/05 @ 13:00:00,1,5,13,27.5,23.99,0.017464149665730625,100.77,0.75,22.68,274.78,12,264,1.9
2002/01/05 @ 14:00:00,1,5,14,27.6,23.93,0.017328722149658412,100.71,0.74,22.55,308.84,21,292,1.8
2002/01/05 @ 15:00:00,1,5,15,27.9,23.9,0.017153741537618134,100.68,0.72,22.39,297.21,31,277,1.4
2002/01/05 @ 16:00:00,1,5,16,27.2,23.11,0.016212890488481138,100.65,0.71,21.49,241.88,39,224,1.1
2002/01/05 @ 17:00:00,1,5,17,26.4,22.38,0.015448987393744104,100.63,0.71,20.73,166.55,62,152,0.8
2002/01/05 @ 18:00:00,1,5,18,25.6,21.65,0.014717610353864296,100.66,0.71,19.97,43.0,32,43,0.6
2002/01/05 @ 19:00:00,1,5,19,25.1,20.9,0.013865334535092233,100.7,0.69,19.03,0.0,0,0,0.7
2002/01/05 @ 20:00:00,1,5,20,25.0,20.67,0.013577009556855401,100.74,0.68,18.7,0.0,0,0,0.6
2002/01/05 @ 21:00:00,1,5,21,24.9,20.72,0.013697316132997238,100.8,0.69,18.84,0.0,0,0,0.5
2002/01/05 @ 22:00:00,1,5,22,24.8,20.78,0.0138156810310972,100.87,0.7,18.98,0.0,0,0,0.6
2002/01/05 @ 23:00:00,1,5,23,24.5,20.65,0.013762763712542299,100.93,0.71,18.92,0.0,0,0,0.6
2002/01/06 @ 00:00:00,1,6,0,24.5,21.22,0.014556277716073254,100.94,0.75,19.79,0.0,0,0,0.7
2002/01/06 @ 01:00:00,1,6,1,23.6,20.93,0.014524979340441065,100.94,0.79,19.76,0.0,0,0,1.0
2002/01/06 @ 02:00:00,1,6,2,23.7,22.07,0.016133196454547017,100.94,0.87,21.42,0.0,0,0,1.1
2002/01/06 @ 03:00:00,1,6,3,23.0,21.65,0.01581298760821906,100.92,0.89,21.1,23.0,0,23,0.9
2002/01/06 @ 04:00:00,1,6,4,23.1,22.37,0.016829539065032886,100.89,0.94,22.09,0.0,0,0,0.6
2002/01/06 @ 05:00:00,1,6,5,23.1,22.25,0.016645709659327098,100.87,0.93,21.91,0.0,0,0,0.3
2002/01/06 @ 06:00:00,1,6,6,23.4,22.79,0.01733343639137286,100.9,0.95,22.56,0.0,0,0,0.3
2002/01/06 @ 07:00:00,1,6,7,24.2,23.33,0.017819026666860742,100.93,0.93,23.0,0.0,0,0,0.6
2002/01/06 @ 08:00:00,1,6,8,25.8,24.37,0.01878839434891491,100.96,0.89,23.85,31.49,1,31,0.6
2002/01/06 @ 09:00:00,1,6,9,27.2,24.59,0.018564556995924568,100.87,0.81,23.66,158.1,9,152,0.9
2002/01/06 @ 10:00:00,1,6,10,28.5,24.76,0.018289364256540094,100.79,0.74,23.42,325.72,35,297,1.4
2002/01/06 @ 11:00:00,1,6,11,29.3,24.86,0.01811621900948474,100.71,0.7,23.26,562.7,156,421,1.8
2002/01/06 @ 12:00:00,1,6,12,30.2,24.67,0.017424960726348523,100.64,0.64,22.64,770.07,416,381,2.1
2002/01/06 @ 13:00:00,1,6,13,30.9,24.58,0.016991746144375285,100.56,0.6,22.24,844.6,611,295,2.4
2002/01/06 @ 14:00:00,1,6,14,31.3,23.82,0.015611234500044983,100.49,0.54,20.89,786.71,668,250,2.4
2002/01/06 @ 15:00:00,1,6,15,31.5,23.99,0.015794246391254773,100.49,0.54,21.08,611.01,537,260,2.8
2002/01/06 @ 16:00:00,1,6,16,30.6,23.6,0.015554473337476882,100.48,0.56,20.84,365.96,215,267,3.0
2002/01/06 @ 17:00:00,1,6,17,30.0,23.62,0.015840960182259646,100.48,0.59,21.12,194.86,122,166,3.3
2002/01/06 @ 18:00:00,1,6,18,28.9,23.85,0.01665229299884359,100.57,0.66,21.92,47.0,43,47,3.6
2002/01/06 @ 19:00:00,1,6,19,27.6,23.0,0.015887798611176743,100.66,0.68,21.17,0.0,0,0,4.4
2002/01/06 @ 20:00:00,1,6,20,26.0,22.31,0.01551467863526278,100.75,0.73,20.8,0.0,0,0,5.2
2002/01/06 @ 21:00:00,1,6,21,25.8,22.27,0.015542676733873372,100.82,0.74,20.83,0.0,0,0,3.4
2002/01/06 @ 22:00:00,1,6,22,25.8,21.98,0.015112397216854104,100.9,0.72,20.38,0.0,0,0,2.4
2002/01/06 @ 23:00:00,1,6,23,25.1,21.34,0.014482212527514339,100.97,0.72,19.71,0.0,0,0,1.4
2002/01/07 @ 00:00:00,1,7,0,24.8,21.21,0.01442151113343917,100.95,0.73,19.65,0.0,0,0,1.1
2002/01/07 @ 01:00:00,1,7,1,24.9,21.01,0.014103342772746351,100.93,0.71,19.3,0.0,0,0,0.8
2002/01/07 @ 02:00:00,1,7,2,24.7,20.83,0.013932119032035789,100.91,0.71,19.11,0.0,0,0,0.6
2002/01/07 @ 03:00:00,1,7,3,24.5,20.93,0.014159273245356804,100.88,0.73,19.36,1.0,0,1,0.5
2002/01/07 @ 04:00:00,1,7,4,24.5,21.22,0.014556277716073254,100.86,0.75,19.79,0.0,0,0,0.5
2002/01/07 @ 05:00:00,1,7,5,24.3,21.17,0.014575107610505223,100.83,0.76,19.81,0.0,0,0,0.3
2002/01/07 @ 06:00:00,1,7,6,25.4,22.75,0.01643145233486515,100.85,0.8,21.71,0.0,0,0,0.7
2002/01/07 @ 07:00:00,1,7,7,26.0,22.89,0.016387197218085073,100.88,0.77,21.66,110.72,137,74,1.0
2002/01/07 @ 08:00:00,1,7,8,27.7,24.33,0.01791790424595032,100.91,0.76,23.09,258.79,151,185,1.4
2002/01/07 @ 09:00:00,1,7,9,28.5,24.29,0.017527008467189784,100.85,0.71,22.73,404.84,177,285,1.5
2002/01/07 @ 10:00:00,1,7,10,29.5,24.72,0.01779388959678572,100.79,0.68,22.98,713.87,546,266,1.5
2002/01/07 @ 11:00:00,1,7,11,30.7,25.11,0.01794549387516447,100.73,0.64,23.11,981.31,905,159,1.7
2002/01/07 @ 12:00:00,1,7,12,31.4,24.84,0.017196637566410263,100.66,0.59,22.43,1058.65,944,175,1.6
2002/01/07 @ 13:00:00,1,7,13,32.0,24.23,0.01595138855561006,100.6,0.53,21.23,1052.39,943,203,1.6
2002/01/07 @ 14:00:00,1,7,14,32.1,23.52,0.01480450153814118,100.53,0.49,20.06,930.6,920,190,1.4
2002/01/07 @ 15:00:00,1,7,15,31.2,23.36,0.014931811837511083,100.57,0.52,20.19,666.58,718,196,1.4
2002/01/07 @ 16:00:00,1,7,16,30.5,23.52,0.015463549341712565,100.6,0.56,20.74,359.58,196,269,0.9
2002/01/07 @ 17:00:00,1,7,17,29.6,23.63,0.016009643604524434,100.64,0.61,21.29,169.01,63,154,0.9
2002/01/07 @ 18:00:00,1,7,18,27.9,22.96,0.015688205303227825,100.74,0.66,20.97,35.0,14,35,1.1
2002/01/07 @ 19:00:00,1,7,19,26.6,22.26,0.015185633614099376,100.85,0.69,20.46,0.0,0,0,1.5
2002/01/07 @ 20:00:00,1,7,20,25.3,21.67,0.014868285696531732,100.96,0.73,20.13,0.0,0,0,1.9
2002/01/07 @ 21:00:00,1,7,21,23.9,21.21,0.014796013554151534,101.02,0.79,20.05,0.0,0,0,1.8
2002/01/07 @ 22:00:00,1,7,22,23.9,23.16,0.017685268829557278,101.09,0.94,22.88,0.0,0,0,1.5
2002/01/07 @ 23:00:00,1,7,23,23.0,22.64,0.01727385739986004,101.16,0.97,22.5,0.0,0,0,1.4
2002/01/08 @ 00:00:00,1,8,0,23.0,22.88,0.01764012117109322,101.15,0.99,22.84,0.0,0,0,1.1
2002/01/08 @ 01:00:00,1,8,1,22.6,22.12,0.016670301938468194,101.14,0.96,21.94,0.0,0,0,0.8
2002/01/08 @ 02:00:00,1,8,2,22.6,21.88,0.016313894201407768,101.13,0.94,21.59,0.0,0,0,0.7
2002/01/08 @ 03:00:00,1,8,3,23.4,22.67,0.017145949135727964,101.11,0.94,22.39,0.0,0,0,0.6
