Time,MM,DD,hh,T_dry,T_wb,w,P,RH,T_dp,ghi,dni,dhi,v_wind
2002/01/01 @ 00:00:00,1,1,0,24.6,22.63,0.016650743913556563,92.3,0.85,21.92,250.79,82,215,6.3
2002/01/01 @ 01:00:00,1,1,1,26.2,23.0,0.01658738749511961,92.3,0.77,21.86,383.99,133,307,7.7
2002/01/01 @ 02:00:00,1,1,2,29.3,24.09,0.017052622813548225,92.3,0.66,22.3,501.61,178,382,9.9
2002/01/01 @ 03:00:00,1,1,3,31.1,24.43,0.01689765917884587,92.2,0.59,22.15,586.02,210,437,10.8
2002/01/01 @ 04:00:00,1,1,4,31.7,24.18,0.016282838539070765,92.2,0.55,21.56,661.59,323,439,11.4
2002/01/01 @ 05:00:00,1,1,5,31.5,24.59,0.016996162142933435,92.2,0.58,22.24,676.26,507,366,12.2
2002/01/01 @ 06:00:00,1,1,6,30.6,24.72,0.017553658319707247,92.2,0.63,22.76,576.94,364,401,12.1
2002/01/01 @ 07:00:00,1,1,7,28.9,24.72,0.018210462982361956,92.2,0.72,23.35,463.76,262,382,11.9
2002/01/01 @ 08:00:00,1,1,8,27.4,24.72,0.018790065855765627,92.1,0.81,23.85,344.97,182,325,12.3
2002/01/01 @ 09:00:00,1,1,9,25.2,23.06,0.017065865132639618,92.1,0.84,22.31,238.0,137,238,9.4
2002/01/01 @ 10:00:00,1,1,10,24.2,23.04,0.01742508550902133,92.1,0.91,22.64,142.0,33,142,7.0
2002/01/01 @ 11:00:00,1,1,11,23.5,22.75,0.017252607890301933,92.0,0.94,22.48,0.0,0,0,5.3
2002/01/01 @ 12:00:00,1,1,12,22.7,22.08,0.016595163326549887,92.0,0.95,21.87,0.0,0,0,5.6
2002/01/01 @ 13:00:00,1,1,13,22.3,21.69,0.016186165920233787,92.0,0.95,21.47,0.0,0,0,6.0
2002/01/01 @ 14:00:00,1,1,14,22.4,21.54,0.015935870859847184,92.1,0.93,21.22,0.0,0,0,6.5
2002/01/01 @ 15:00:00,1,1,15,22.9,21.9,0.01625864561692166,92.0,0.92,21.54,0.0,0,0,9.1
2002/01/01 @ 16:00:00,1,1,16,22.4,21.29,0.015584576476987366,91.8,0.91,20.87,0.0,0,0,12.4
2002/01/01 @ 17:00:00,1,1,17,23.4,22.0,0.01621016002711594,91.8,0.89,21.49,0.0,0,0,16.1
2002/01/01 @ 18:00:00,1,1,18,22.7,21.58,0.01587858031585947,91.8,0.91,21.17,0.0,0,0,13.9
2002/01/01 @ 19:00:00,1,1,19,22.5,21.0,0.01515244220279893,91.8,0.88,20.43,0.0,0,0,11.0
2002/01/01 @ 20:00:00,1,1,20,22.5,21.13,0.015328872878233934,91.8,0.89,20.61,0.0,0,0,8.5
2002/01/01 @ 21:00:00,1,1,21,22.2,21.22,0.015564678947693181,91.8,0.92,20.85,0.0,0,0,7.0
2002/01/01 @ 22:00:00,1,1,22,22.4,21.41,0.01576017528879811,91.7,0.92,21.05,76.04,1,76,5.2
2002/01/01 @ 23:00:00,1,1,23,23.7,22.03,0.016133196454547017,91.8,0.87,21.42,121.77,74,103,4.1
2002/01/02 @ 00:00:00,1,2,0,25.6,22.29,0.015780359250780154,91.8,0.76,21.07,244.94,71,214,6.2
2002/01/02 @ 01:00:00,1,2,1,27.0,22.82,0.016018794479405716,91.9,0.71,21.3,378.16,123,307,8.4
2002/01/02 @ 02:00:00,1,2,2,30.3,23.91,0.01640357446885618,92.0,0.6,21.68,499.62,175,382,11.6
2002/01/02 @ 03:00:00,1,2,3,31.6,24.1,0.016188323467360762,92.0,0.55,21.47,588.7,215,436,12.5
2002/01/02 @ 04:00:00,1,2,4,31.8,23.87,0.01576719238214214,91.9,0.53,21.05,673.1,358,426,13.6
2002/01/02 @ 05:00:00,1,2,5,30.0,25.05,0.018328589160427927,91.9,0.68,23.45,679.84,523,359,14.0
2002/01/02 @ 06:00:00,1,2,6,28.4,23.93,0.017170453252969623,91.8,0.7,22.41,571.98,305,424,13.1
2002/01/02 @ 07:00:00,1,2,7,26.4,23.63,0.017462293378384893,91.9,0.8,22.68,464.48,218,396,11.4
2002/01/02 @ 08:00:00,1,2,8,24.7,22.99,0.017158368426241556,91.9,0.87,22.4,347.36,173,328,10.3
2002/01/02 @ 09:00:00,1,2,9,23.3,22.42,0.01685369912755798,91.8,0.93,22.11,241.0,127,241,8.8
2002/01/02 @ 10:00:00,1,2,10,22.8,22.31,0.016879408434076367,91.8,0.96,22.14,136.0,22,136,7.1
2002/01/02 @ 11:00:00,1,2,11,22.5,22.13,0.016743843922367,91.8,0.97,22.01,0.0,0,0,5.6
2002/01/02 @ 12:00:00,1,2,12,22.5,22.26,0.016921157231454244,91.8,0.98,22.18,0.0,0,0,4.3
2002/01/02 @ 13:00:00,1,2,13,22.0,21.64,0.016228571392198157,91.8,0.97,21.51,0.0,0,0,1.8
2002/01/02 @ 14:00:00,1,2,14,21.8,21.44,0.016026505110055666,91.8,0.97,21.31,0.0,0,0,0.5
2002/01/02 @ 15:00:00,1,2,15,21.8,21.44,0.016026505110055666,91.8,0.97,21.31,0.0,0,0,1.7
2002/01/02 @ 16:00:00,1,2,16,22.1,21.61,0.016157735777305615,91.7,0.96,21.44,0.0,0,0,3.1
2002/01/02 @ 17:00:00,1,2,17,21.9,21.42,0.015956726530177465,91.7,0.96,21.24,0.0,0,0,4.6
2002/01/02 @ 18:00:00,1,2,18,21.8,21.32,0.01585707092567757,91.7,0.96,21.14,0.0,0,0,5.3
2002/01/02 @ 19:00:00,1,2,19,21.8,21.07,0.015518472406299002,91.7,0.94,20.8,0.0,0,0,6.1
2002/01/02 @ 20:00:00,1,2,20,21.4,20.92,0.015464040747760859,91.8,0.96,20.75,0.0,0,0,7.2
2002/01/02 @ 21:00:00,1,2,21,21.1,20.63,0.015175059540919562,91.9,0.96,20.45,0.0,0,0,6.4
2002/01/02 @ 22:00:00,1,2,22,20.7,20.23,0.01479732792086964,91.9,0.96,20.05,40.04,1,40,5.1
2002/01/02 @ 23:00:00,1,2,23,21.8,20.7,0.015011248177091012,92.0,0.91,20.28,95.53,10,93,4.6
2002/01/03 @ 00:00:00,1,3,0,24.9,22.5,0.016345793956712946,92.0,0.82,21.62,237.24,58,212,5.8
2002/01/03 @ 01:00:00,1,3,1,26.1,22.61,0.016047734732357793,91.9,0.75,21.33,371.19,111,307,6.4
