Time,MM,DD,hh,T_dry,T_wb,w,P,RH,T_dp,ghi,dni,dhi,v_wind
2002/01/01 @ 00:00:00,1,1,0,22.2,22.2,0.01695502610000595,101.25,1.0,22.21,0.0,0,0,5.1
2002/01/01 @ 01:00:00,1,1,1,21.7,21.7,0.016431906865169377,101.25,1.0,21.71,0.0,0,0,4.1
2002/01/01 @ 02:00:00,1,1,2,21.1,21.1,0.015823440430497968,101.25,1.0,21.11,0.0,0,0,4.1
2002/01/01 @ 03:00:00,1,1,3,21.1,21.1,0.015823440430497968,101.25,1.0,21.11,0.0,0,0,4.1
2002/01/01 @ 04:00:00,1,1,4,21.1,21.1,0.015823440430497968,101.25,1.0,21.11,0.0,0,0,3.6
2002/01/01 @ 05:00:00,1,1,5,22.2,22.08,0.016780901148045323,101.25,0.99,22.04,0.0,0,0,3.1
2002/01/01 @ 06:00:00,1,1,6,23.3,22.57,0.017039886787531957,101.25,0.94,22.29,22.0,0,22,2.6
2002/01/01 @ 07:00:00,1,1,7,24.4,23.52,0.018040218797017723,101.25,0.93,23.2,193.29,341,81,2.1
2002/01/01 @ 08:00:00,1,1,8,26.1,23.7,0.017587879020915805,101.25,0.82,22.79,279.24,299,124,2.6
2002/01/01 @ 09:00:00,1,1,9,26.1,22.98,0.016487018492279022,100.92,0.77,21.76,500.8,502,155,2.6
2002/01/01 @ 10:00:00,1,1,10,27.2,23.41,0.01668184129085852,100.92,0.73,21.95,674.51,574,200,3.1
2002/01/01 @ 11:00:00,1,1,11,27.8,24.12,0.01753817255342028,100.92,0.74,22.74,724.02,443,315,3.6
2002/01/01 @ 12:00:00,1,1,12,27.8,24.27,0.017781950988975826,100.92,0.75,22.97,681.8,258,431,3.6
2002/01/01 @ 13:00:00,1,1,13,27.2,23.71,0.017151481817775135,100.92,0.75,22.39,581.44,118,467,4.1
2002/01/01 @ 14:00:00,1,1,14,26.1,23.13,0.016706887298818883,100.92,0.78,21.97,431.58,41,394,2.6
2002/01/01 @ 15:00:00,1,1,15,26.7,23.83,0.017554171455124116,100.92,0.79,22.76,214.9,6,210,1.5
2002/01/01 @ 16:00:00,1,1,16,26.7,23.98,0.017782729461801407,100.92,0.8,22.97,77.67,1,77,0.0
2002/01/01 @ 17:00:00,1,1,17,27.8,25.16,0.019248533659789048,100.92,0.81,24.24,0.0,0,0,0.0
2002/01/01 @ 18:00:00,1,1,18,26.7,24.26,0.018240335947687224,100.92,0.82,23.37,0.0,0,0,0.0
2002/01/01 @ 19:00:00,1,1,19,26.1,23.69,0.017587879020915805,100.92,0.82,22.79,0.0,0,0,0.0
2002/01/01 @ 20:00:00,1,1,20,26.1,23.69,0.017587879020915805,100.92,0.82,22.79,0.0,0,0,0.0
2002/01/01 @ 21:00:00,1,1,21,24.4,22.35,0.01624878011392428,100.92,0.84,21.53,0.0,0,0,0.0
2002/01/01 @ 22:00:00,1,1,22,24.4,22.75,0.01684481095135271,100.92,0.87,22.1,0.0,0,0,0.0
2002/01/01 @ 23:00:00,1,1,23,23.9,22.27,0.01633369361512898,101.25,0.87,21.61,0.0,0,0,0.0
2002/01/02 @ 00:00:00,1,2,0,22.8,21.46,0.015617711762424888,101.25,0.89,20.9,0.0,0,0,0.0
2002/01/02 @ 01:00:00,1,2,1,22.8,21.58,0.015797648928905016,101.25,0.9,21.08,0.0,0,0,0.0
2002/01/02 @ 02:00:00,1,2,2,22.2,21.0,0.015218037150044444,101.25,0.9,20.49,0.0,0,0,0.0
2002/01/02 @ 03:00:00,1,2,3,21.7,21.11,0.015589717354932269,101.25,0.95,20.88,0.0,0,0,0.0
2002/01/02 @ 04:00:00,1,2,4,21.1,20.87,0.015499085109416454,101.25,0.98,20.78,0.0,0,0,1.0
2002/01/02 @ 05:00:00,1,2,5,22.2,22.08,0.016780901148045323,101.25,0.99,22.04,0.0,0,0,1.0
2002/01/02 @ 06:00:00,1,2,6,23.9,23.9,0.018848325996077622,101.25,1.0,23.9,71.0,0,71,0.5
2002/01/02 @ 07:00:00,1,2,7,25.0,25.0,0.02017343022679142,101.25,1.0,25.0,251.89,336,142,0.5
2002/01/02 @ 08:00:00,1,2,8,25.6,24.57,0.01920512623199449,101.25,0.92,24.2,414.86,603,103,1.0
2002/01/02 @ 09:00:00,1,2,9,26.1,23.84,0.017808506860171915,101.25,0.83,22.99,641.42,753,124,1.5
2002/01/02 @ 10:00:00,1,2,10,26.7,24.55,0.01869859756725878,101.25,0.84,23.77,875.24,846,177,2.1
