Time,MM,DD,hh,T_dry,T_wb,w,P,RH,T_dp,ghi,dni,dhi,v_wind
2002/01/01 @ 00:00:00,1,1,0,15.9,7.51,0.0030219339588194163,101.54,0.27,-2.7,0.0,0,0,1.3
2002/01/01 @ 01:00:00,1,1,1,15.1,6.94,0.002870030904782684,101.52,0.27,-3.31,0.0,0,0,1.2
2002/01/01 @ 02:00:00,1,1,2,14.7,6.78,0.0029007032869010877,101.58,0.28,-3.19,0.0,0,0,1.2
2002/01/01 @ 03:00:00,1,1,3,13.7,6.3,0.0029128871799852705,101.64,0.3,-3.14,0.0,0,0,1.1
2002/01/01 @ 04:00:00,1,1,4,16.3,8.06,0.0033314131065696833,101.55,0.29,-1.55,0.0,0,0,1.3
2002/01/01 @ 05:00:00,1,1,5,13.8,6.5,0.0030301960177386757,101.7,0.31,-2.67,0.0,0,0,0.9
2002/01/01 @ 06:00:00,1,1,6,14.6,7.34,0.0033993859973299036,101.74,0.33,-1.3,0.0,0,0,0.9
2002/01/01 @ 07:00:00,1,1,7,16.4,8.28,0.0034690896831108906,101.77,0.3,-1.06,0.0,0,0,1.0
2002/01/01 @ 08:00:00,1,1,8,18.1,9.08,0.0034769160980047116,101.86,0.27,-1.03,238.34,243,177,1.4
2002/01/01 @ 09:00:00,1,1,9,21.9,11.22,0.003913870439105219,101.8,0.24,0.41,312.9,526,107,1.5
2002/01/01 @ 10:00:00,1,1,10,24.8,12.21,0.0036902467075185887,101.77,0.19,-0.32,382.77,474,151,1.6
2002/01/01 @ 11:00:00,1,1,11,26.8,12.83,0.0034976530382764223,101.74,0.16,-0.97,484.85,609,157,2.0
2002/01/01 @ 12:00:00,1,1,12,28.3,13.51,0.0035802645040924046,101.74,0.15,-0.69,500.71,613,172,2.1
2002/01/01 @ 13:00:00,1,1,13,27.9,13.94,0.004201524328292407,101.63,0.18,1.4,431.07,460,209,2.0
2002/01/01 @ 14:00:00,1,1,14,25.3,13.11,0.004407245485196436,101.51,0.22,2.07,331.27,289,221,2.0
2002/01/01 @ 15:00:00,1,1,15,24.5,13.9,0.005548776218878109,101.62,0.29,5.34,204.63,107,179,1.8
2002/01/01 @ 16:00:00,1,1,16,23.5,14.9,0.007043673052577533,101.62,0.39,8.79,71.86,13,71,1.5
2002/01/01 @ 17:00:00,1,1,17,20.6,14.71,0.008032893301511015,101.68,0.53,10.73,0.0,0,0,1.2
2002/01/01 @ 18:00:00,1,1,18,17.9,14.19,0.008589647698363569,101.7,0.67,11.72,0.0,0,0,0.9
2002/01/01 @ 19:00:00,1,1,19,15.9,13.51,0.008696356554866209,101.74,0.77,11.91,0.0,0,0,0.8
2002/01/01 @ 20:00:00,1,1,20,15.0,13.5,0.009066318903108628,101.75,0.85,12.53,0.0,0,0,0.6
2002/01/01 @ 21:00:00,1,1,21,14.6,12.2,0.007885046399357446,101.7,0.76,10.45,0.0,0,0,0.9
2002/01/01 @ 22:00:00,1,1,22,14.9,11.18,0.0067577423432994095,101.65,0.64,8.19,0.0,0,0,1.1
2002/01/01 @ 23:00:00,1,1,23,15.1,9.88,0.005443498017168597,101.6,0.51,5.06,0.0,0,0,1.2
2002/01/02 @ 00:00:00,1,2,0,15.2,9.49,0.005045736410291625,101.56,0.47,3.98,0.0,0,0,1.1
2002/01/02 @ 01:00:00,1,2,1,15.0,8.61,0.004340413135697788,101.54,0.41,1.86,0.0,0,0,0.9
2002/01/02 @ 02:00:00,1,2,2,15.0,8.37,0.004127280623924329,101.52,0.39,1.15,0.0,0,0,0.8
2002/01/02 @ 03:00:00,1,2,3,14.9,7.92,0.0037832458207702493,101.54,0.36,-0.02,0.0,0,0,0.9
2002/01/02 @ 04:00:00,1,2,4,14.8,7.72,0.0036537549104141737,101.54,0.35,-0.44,0.0,0,0,1.0
2002/01/02 @ 05:00:00,1,2,5,14.5,7.38,0.003480280373918434,101.56,0.34,-1.02,0.0,0,0,1.0
2002/01/02 @ 06:00:00,1,2,6,14.4,7.66,0.0037646521727162366,101.55,0.37,-0.08,0.0,0,0,0.9
2002/01/02 @ 07:00:00,1,2,7,15.0,8.37,0.004127280623924329,101.56,0.39,1.15,0.0,0,0,0.8
2002/01/02 @ 08:00:00,1,2,8,16.4,8.93,0.004051037281532419,101.54,0.35,0.89,103.06,242,42,0.8
2002/01/02 @ 09:00:00,1,2,9,18.9,10.94,0.004885267505742969,101.54,0.36,3.52,190.77,173,123,1.0
2002/01/02 @ 10:00:00,1,2,10,23.0,13.68,0.005947469296368892,101.5,0.34,6.33,231.01,96,184,1.0
2002/01/02 @ 11:00:00,1,2,11,25.0,14.43,0.005917667104980576,101.47,0.3,6.26,356.0,228,233,0.8
2002/01/02 @ 12:00:00,1,2,12,26.2,13.9,0.004863704597581926,101.38,0.23,3.46,363.32,194,259,1.1
2002/01/02 @ 13:00:00,1,2,13,25.7,14.15,0.0053417851321722765,101.36,0.26,4.79,248.26,48,225,1.2
2002/01/02 @ 14:00:00,1,2,14,24.1,13.6,0.005416141565639485,101.29,0.29,4.99,126.07,8,123,1.0
2002/01/02 @ 15:00:00,1,2,15,22.9,13.26,0.005560382795297033,101.22,0.32,5.37,35.24,1,35,0.8
2002/01/02 @ 16:00:00,1,2,16,21.6,11.99,0.004810309538040107,101.15,0.3,3.3,0.0,0,0,0.4
2002/01/02 @ 17:00:00,1,2,17,21.1,11.63,0.004663970063012998,101.1,0.3,2.87,0.0,0,0,0.4
2002/01/02 @ 18:00:00,1,2,18,19.7,10.47,0.0041314786567028475,101.05,0.29,1.17,0.0,0,0,0.4
2002/01/02 @ 19:00:00,1,2,19,18.7,10.2,0.004284373304601214,101.12,0.32,1.68,0.0,0,0,0.7
2002/01/02 @ 20:00:00,1,2,20,17.9,10.18,0.0045860277398452175,101.12,0.36,2.63,0.0,0,0,1.0
2002/01/02 @ 21:00:00,1,2,21,17.5,9.88,0.004470950983911312,101.12,0.36,2.27,0.0,0,0,1.1
2002/01/02 @ 22:00:00,1,2,22,17.1,9.44,0.004236544958141655,101.12,0.35,1.52,0.0,0,0,1.2
2002/01/02 @ 23:00:00,1,2,23,17.0,8.55,0.0034839052979782725,101.08,0.29,-1.01,0.0,0,0,1.4
2002/01/03 @ 00:00:00,1,3,0,17.0,8.27,0.003242383371944931,101.07,0.27,-1.87,0.0,0,0,1.5
2002/01/03 @ 01:00:00,1,3,1,17.1,8.06,0.0030202255200696563,101.05,0.25,-2.71,0.0,0,0,1.6
2002/01/03 @ 02:00:00,1,3,2,17.3,7.91,0.0028130862555346605,101.08,0.23,-3.55,0.0,0,0,1.8
2002/01/03 @ 03:00:00,1,3,3,17.3,7.77,0.002690249108674541,101.08,0.22,-4.07,0.0,0,0,1.9
2002/01/03 @ 04:00:00,1,3,4,17.8,7.81,0.0025234577366102014,101.15,0.2,-4.82,0.0,0,0,2.0
2002/01/03 @ 05:00:00,1,3,5,18.8,8.32,0.002552733093135312,101.15,0.19,-4.69,0.0,0,0,2.2
2002/01/03 @ 06:00:00,1,3,6,20.1,9.33,0.002915178105956472,101.15,0.2,-3.13,0.0,0,0,2.2
2002/01/03 @ 07:00:00,1,3,7,22.1,10.64,0.003298357642531834,101.23,0.2,-1.67,0.0,0,0,2.1
2002/01/03 @ 08:00:00,1,3,8,23.3,11.79,0.0039060874039638597,101.36,0.22,0.39,165.81,241,105,2.1
2002/01/03 @ 09:00:00,1,3,9,25.5,12.83,0.004052217346453724,101.32,0.2,0.9,346.24,526,140,2.1
2002/01/03 @ 10:00:00,1,3,10,28.5,13.37,0.003379569932509174,101.32,0.14,-1.38,525.65,666,199,2.4
2002/01/03 @ 11:00:00,1,3,11,30.5,14.54,0.0037951182185881034,101.29,0.14,0.01,545.12,740,145,2.7
2002/01/03 @ 12:00:00,1,3,12,30.8,13.93,0.003029740360619292,101.26,0.11,-2.68,514.3,655,161,2.5
2002/01/03 @ 13:00:00,1,3,13,30.5,14.02,0.0032501252850967535,101.21,0.12,-1.84,444.74,505,199,2.5
2002/01/03 @ 14:00:00,1,3,14,29.1,13.47,0.003248531715065918,101.21,0.13,-1.85,357.49,408,200,2.2
2002/01/03 @ 15:00:00,1,3,15,27.8,12.95,0.0032438649716686604,101.22,0.14,-1.87,228.01,176,185,2.0
2002/01/03 @ 16:00:00,1,3,16,25.6,12.49,0.0036664587765854245,101.29,0.18,-0.4,99.85,40,97,2.0
2002/01/03 @ 17:00:00,1,3,17,24.0,11.87,0.003702759300100866,101.32,0.2,-0.28,0.0,0,0,2.0
2002/01/03 @ 18:00:00,1,3,18,23.3,11.04,0.003192244476783237,101.28,0.18,-2.05,0.0,0,0,1.8
2002/01/03 @ 19:00:00,1,3,19,21.7,9.85,0.0027334822897200502,101.28,0.17,-3.89,0.0,0,0,1.4
2002/01/03 @ 20:00:00,1,3,20,20.5,9.09,0.0025384058369719,101.29,0.17,-4.75,0.0,0,0,1.2
2002/01/03 @ 21:00:00,1,3,21,19.3,8.33,0.002355686303447097,101.28,0.17,-5.62,0.0,0,0,1.2
2002/01/03 @ 22:00:00,1,3,22,18.8,8.17,0.002417856407417569,101.24,0.18,-5.32,0.0,0,0,1.4
2002/01/03 @ 23:00:00,1,3,23,18.3,8.3,0.0027352163741246526,101.18,0.21,-3.88,0.0,0,0,1.4
2002/01/04 @ 00:00:00,1,4,0,17.4,7.55,0.0024602916949885995,101.17,0.2,-5.12,0.0,0,0,1.0
2002/01/04 @ 01:00:00,1,4,1,17.2,7.7,0.0026732021694606443,101.15,0.22,-4.15,0.0,0,0,0.7
2002/01/04 @ 02:00:00,1,4,2,16.5,7.64,0.0029067630357988306,101.06,0.25,-3.16,0.0,0,0,0.5
2002/01/04 @ 03:00:00,1,4,3,15.9,8.02,0.0034721272157938934,101.12,0.31,-1.05,0.0,0,0,0.8
2002/01/04 @ 04:00:00,1,4,4,15.4,8.04,0.0036893255560484406,101.15,0.34,-0.32,0.0,0,0,0.9
2002/01/04 @ 05:00:00,1,4,5,15.0,8.48,0.004233828743831299,101.18,0.4,1.51,0.0,0,0,1.2
2002/01/04 @ 06:00:00,1,4,6,14.7,9.07,0.004884496135808613,101.15,0.47,3.52,0.0,0,0,1.0
2002/01/04 @ 07:00:00,1,4,7,16.5,10.28,0.005251809626598407,101.18,0.45,4.55,0.0,0,0,0.8
2002/01/04 @ 08:00:00,1,4,8,17.9,10.86,0.005228330491545605,101.18,0.41,4.49,114.58,240,54,0.5
2002/01/04 @ 09:00:00,1,4,9,21.5,11.92,0.004780721379719569,101.15,0.3,3.22,285.44,480,97,1.3
2002/01/04 @ 10:00:00,1,4,10,24.6,13.2,0.004806445797809814,101.14,0.25,3.29,457.75,667,130,2.0
2002/01/04 @ 11:00:00,1,4,11,26.8,14.9,0.0057037338623081415,101.15,0.26,5.73,579.11,740,178,2.5
2002/01/04 @ 12:00:00,1,4,12,27.7,15.3,0.00578226091324685,101.08,0.25,5.93,515.9,654,162,2.7
2002/01/04 @ 13:00:00,1,4,13,26.9,14.34,0.005070248546915117,101.01,0.23,4.05,463.94,581,180,2.8
2002/01/04 @ 14:00:00,1,4,14,25.0,14.04,0.0055196547462318364,100.98,0.28,5.26,341.33,315,219,2.8
2002/01/04 @ 15:00:00,1,4,15,24.8,12.76,0.00427692408596359,101.02,0.22,1.65,197.98,85,177,3.0
2002/01/04 @ 16:00:00,1,4,16,27.8,14.73,0.005112740045046383,101.15,0.22,4.17,0.0,0,0,3.6
2002/01/04 @ 17:00:00,1,4,17,26.6,12.9,0.0036737875969517406,101.22,0.17,-0.38,0.0,0,0,3.8
2002/01/04 @ 18:00:00,1,4,18,25.2,11.62,0.002980301132193273,101.18,0.15,-2.87,0.0,0,0,3.7
2002/01/04 @ 19:00:00,1,4,19,23.1,10.53,0.0028016941287207432,101.15,0.16,-3.6,0.0,0,0,3.3
2002/01/04 @ 20:00:00,1,4,20,21.1,8.94,0.002167849114088911,101.1,0.14,-6.59,0.0,0,0,3.2
2002/01/04 @ 21:00:00,1,4,21,19.3,8.0,0.002077620947524809,101.09,0.15,-7.07,0.0,0,0,3.2
2002/01/04 @ 22:00:00,1,4,22,18.2,7.78,0.0023282751433741844,101.17,0.18,-5.76,0.0,0,0,2.8
2002/01/04 @ 23:00:00,1,4,23,17.4,7.7,0.002583817333314031,101.26,0.21,-4.55,0.0,0,0,2.6
2002/01/05 @ 00:00:00,1,5,0,17.3,7.34,0.002322027317545116,101.32,0.19,-5.79,0.0,0,0,2.8
2002/01/05 @ 01:00:00,1,5,1,16.9,7.08,0.0022636983361452824,101.36,0.19,-6.09,0.0,0,0,2.9
2002/01/05 @ 02:00:00,1,5,2,16.6,7.03,0.0023381268414066725,101.43,0.2,-5.71,0.0,0,0,2.9
2002/01/05 @ 03:00:00,1,5,3,16.4,6.76,0.002192605823538974,101.47,0.19,-6.45,0.0,0,0,3.1
2002/01/05 @ 04:00:00,1,5,4,16.6,7.03,0.0023381268414066725,101.54,0.2,-5.71,40.0,0,40,3.2
2002/01/05 @ 05:00:00,1,5,5,17.2,7.15,0.0021854575229151014,101.58,0.18,-6.49,31.0,0,31,3.3
2002/01/05 @ 06:00:00,1,5,6,18.3,7.56,0.002081794521913384,101.65,0.16,-7.05,48.0,0,48,3.4
2002/01/05 @ 07:00:00,1,5,7,19.2,8.13,0.002202802612969219,101.63,0.16,-6.4,0.0,0,0,3.5
2002/01/05 @ 08:00:00,1,5,8,19.4,8.09,0.0020906428977614244,101.6,0.15,-7.0,258.63,240,198,3.7
2002/01/05 @ 09:00:00,1,5,9,20.4,8.37,0.0019272969765003845,101.58,0.13,-7.93,436.82,526,230,3.7
2002/01/05 @ 10:00:00,1,5,10,21.1,8.25,0.0015469230959980827,101.55,0.1,-10.42,530.43,667,202,3.9
2002/01/05 @ 11:00:00,1,5,11,21.3,8.55,0.0017231242618090659,101.46,0.11,-9.21,570.72,741,168,3.8
2002/01/05 @ 12:00:00,1,5,12,22.5,9.44,0.0020236627023357367,101.47,0.12,-7.38,579.71,773,160,3.7
2002/01/05 @ 13:00:00,1,5,13,22.6,9.69,0.0022063080509880724,101.63,0.13,-6.38,535.95,772,157,3.2
2002/01/05 @ 14:00:00,1,5,14,22.2,9.45,0.0021530879039335466,101.64,0.13,-6.66,425.38,738,137,2.9
2002/01/05 @ 15:00:00,1,5,15,20.0,9.45,0.0030426574911925804,101.58,0.21,-2.62,292.89,661,128,2.6
2002/01/05 @ 16:00:00,1,5,16,19.2,9.23,0.0031714430211523307,101.58,0.23,-2.13,115.36,70,110,2.2
2002/01/05 @ 17:00:00,1,5,17,18.1,7.88,0.0024426726625331064,101.54,0.19,-5.2,0.0,0,0,1.6
2002/01/05 @ 18:00:00,1,5,18,16.8,7.59,0.002724935141598668,101.61,0.23,-3.92,0.0,0,0,1.7
2002/01/05 @ 19:00:00,1,5,19,16.4,7.87,0.0031204401932293903,101.65,0.27,-2.32,0.0,0,0,1.7
2002/01/05 @ 20:00:00,1,5,20,16.0,7.98,0.0033811843601693,101.67,0.3,-1.37,0.0,0,0,1.7
2002/01/05 @ 21:00:00,1,5,21,14.5,6.63,0.002863285770812397,101.47,0.28,-3.34,0.0,0,0,1.2
2002/01/05 @ 22:00:00,1,5,22,13.3,5.65,0.0025526607741554316,101.36,0.27,-4.69,0.0,0,0,1.0
2002/01/05 @ 23:00:00,1,5,23,13.1,5.14,0.0022384495751675746,101.31,0.24,-6.21,0.0,0,0,0.7
2002/01/06 @ 00:00:00,1,6,0,13.2,5.33,0.002347417625736727,101.32,0.25,-5.66,0.0,0,0,0.6
2002/01/06 @ 01:00:00,1,6,1,12.2,4.63,0.0021978631308713823,101.36,0.25,-6.43,0.0,0,0,0.5
2002/01/06 @ 02:00:00,1,6,2,12.0,4.6,0.002256058202904272,101.36,0.26,-6.12,0.0,0,0,0.6
2002/01/06 @ 03:00:00,1,6,3,11.8,4.57,0.0023123129817779835,101.42,0.27,-5.84,0.0,0,0,0.6
2002/01/06 @ 04:00:00,1,6,4,11.8,5.01,0.0026563409702386556,101.45,0.31,-4.22,0.0,0,0,0.7
2002/01/06 @ 05:00:00,1,6,5,11.4,4.61,0.00250289677096796,101.5,0.3,-4.92,0.0,0,0,0.7
2002/01/06 @ 06:00:00,1,6,6,11.5,5.22,0.00294151809615182,101.6,0.35,-3.02,0.0,0,0,0.5
2002/01/06 @ 07:00:00,1,6,7,11.3,4.75,0.002652752556973209,101.63,0.32,-4.24,0.0,0,0,0.4
2002/01/06 @ 08:00:00,1,6,8,12.8,6.33,0.0032979669810636364,101.63,0.36,-1.67,63.53,97,39,0.5
2002/01/06 @ 09:00:00,1,6,9,15.1,8.08,0.0038326031904764896,101.56,0.36,0.12,180.12,145,123,0.6
2002/01/06 @ 10:00:00,1,6,10,16.8,9.1,0.004036623373416821,101.56,0.34,0.84,224.44,86,182,0.8
2002/01/06 @ 11:00:00,1,6,11,18.5,10.22,0.004363811104949686,101.57,0.33,1.93,258.61,69,221,1.1
2002/01/06 @ 12:00:00,1,6,12,19.0,10.29,0.004228684129604341,101.51,0.31,1.49,270.69,60,238,1.2
2002/01/06 @ 13:00:00,1,6,13,19.1,10.06,0.00397904755240368,101.43,0.29,0.64,205.84,24,194,0.9
2002/01/06 @ 14:00:00,1,6,14,17.8,8.99,0.003538583761300571,101.34,0.28,-0.82,175.26,21,167,0.6
2002/01/06 @ 15:00:00,1,6,15,17.5,9.05,0.0037213339193699698,101.28,0.3,-0.22,55.5,2,55,0.9
2002/01/06 @ 16:00:00,1,6,16,17.2,9.38,0.004141020802131824,101.22,0.34,1.2,0.0,0,0,1.2
2002/01/06 @ 17:00:00,1,6,17,16.9,8.48,0.003461749965614286,101.22,0.29,-1.09,0.0,0,0,1.4
2002/01/06 @ 18:00:00,1,6,18,16.5,8.59,0.0037255320153939107,101.21,0.32,-0.21,0.0,0,0,1.4
2002/01/06 @ 19:00:00,1,6,19,15.9,8.8,0.004148634524858119,101.22,0.37,1.23,0.0,0,0,1.4
2002/01/06 @ 20:00:00,1,6,20,15.5,8.86,0.004373107367148896,101.15,0.4,1.96,0.0,0,0,1.4
2002/01/06 @ 21:00:00,1,6,21,14.2,8.67,0.00472784448637073,101.12,0.47,3.06,0.0,0,0,1.3
2002/01/06 @ 22:00:00,1,6,22,13.5,8.76,0.005097262232640367,101.15,0.53,4.13,0.0,0,0,1.2
2002/01/06 @ 23:00:00,1,6,23,12.4,8.77,0.005552588782592564,101.17,0.62,5.35,0.0,0,0,1.2
2002/01/07 @ 00:00:00,1,7,0,11.4,9.14,0.006295242899674815,101.15,0.75,7.16,0.0,0,0,1.2
2002/01/07 @ 01:00:00,1,7,1,11.2,9.6,0.006797537768683047,101.14,0.82,8.27,0.0,0,0,1.2
2002/01/07 @ 02:00:00,1,7,2,10.5,9.47,0.006964691021107019,101.08,0.88,8.63,0.0,0,0,1.2
2002/01/07 @ 03:00:00,1,7,3,10.5,9.47,0.006964691021107019,101.08,0.88,8.63,0.0,0,0,1.2
2002/01/07 @ 04:00:00,1,7,4,10.5,9.29,0.0068046707625748016,101.13,0.86,8.29,0.0,0,0,1.2
2002/01/07 @ 05:00:00,1,7,5,10.9,9.5,0.006826198218169264,101.15,0.84,8.33,0.0,0,0,1.2
2002/01/07 @ 06:00:00,1,7,6,10.6,9.65,0.0070924266941993505,101.11,0.89,8.89,0.0,0,0,1.3
2002/01/07 @ 07:00:00,1,7,7,11.2,10.14,0.0073007571302739094,101.08,0.88,9.32,0.0,0,0,1.4
2002/01/07 @ 08:00:00,1,7,8,12.5,11.11,0.007688698536826993,101.15,0.85,10.08,0.0,0,0,1.4
2002/01/07 @ 09:00:00,1,7,9,15.2,12.32,0.007763139319474489,101.1,0.72,10.22,267.04,408,106,1.9
2002/01/07 @ 10:00:00,1,7,10,16.7,12.4,0.007233051818950163,101.13,0.61,9.18,265.71,151,191,2.2
2002/01/07 @ 11:00:00,1,7,11,18.3,12.77,0.0069497386331922135,101.11,0.53,8.6,250.35,61,217,2.5
2002/01/07 @ 12:00:00,1,7,12,19.2,12.71,0.006515443149496021,101.06,0.47,7.65,219.86,29,204,2.6
2002/01/07 @ 13:00:00,1,7,13,19.0,12.41,0.006295533292993894,101.1,0.46,7.16,219.86,30,205,2.8
2002/01/07 @ 14:00:00,1,7,14,17.7,12.27,0.006689465317623893,101.08,0.53,8.04,237.36,59,214,2.8
2002/01/07 @ 15:00:00,1,7,15,16.3,12.52,0.0075169434082486665,101.08,0.65,9.75,215.05,114,186,2.7
2002/01/07 @ 16:00:00,1,7,16,15.1,12.87,0.008364105931246535,101.01,0.78,11.33,137.51,372,107,2.6
2002/01/07 @ 17:00:00,1,7,17,14.1,12.94,0.008852808466635944,101.0,0.88,12.18,53.0,227,53,2.7
2002/01/07 @ 18:00:00,1,7,18,13.0,12.16,0.008516935994260854,100.9,0.91,11.6,0.0,0,0,1.7
2002/01/07 @ 19:00:00,1,7,19,12.6,11.77,0.008293622827371706,100.83,0.91,11.2,0.0,0,0,1.4
2002/01/07 @ 20:00:00,1,7,20,12.2,11.47,0.008165469276724038,100.76,0.92,10.97,0.0,0,0,1.2
2002/01/07 @ 21:00:00,1,7,21,12.2,11.29,0.007985679870875152,100.75,0.9,10.64,0.0,0,0,1.2
2002/01/07 @ 22:00:00,1,7,22,12.1,11.29,0.008021854156861713,100.79,0.91,10.71,0.0,0,0,1.2
2002/01/07 @ 23:00:00,1,7,23,11.9,10.91,0.007739266746068474,100.8,0.89,10.18,0.0,0,0,1.2
2002/01/08 @ 00:00:00,1,8,0,11.8,10.81,0.0076877012346179075,100.83,0.89,10.08,0.0,0,0,1.2
2002/01/08 @ 01:00:00,1,8,1,11.7,10.81,0.007723311278775972,100.83,0.9,10.15,0.0,0,0,1.2
2002/01/08 @ 02:00:00,1,8,2,11.2,10.59,0.007720722330353023,100.89,0.93,10.14,0.0,0,0,1.3
2002/01/08 @ 03:00:00,1,8,3,11.0,10.57,0.007783450489637575,100.83,0.95,10.26,0.0,0,0,1.2
2002/01/08 @ 04:00:00,1,8,4,10.7,10.27,0.00762768966428599,100.86,0.95,9.96,0.0,0,0,1.2
2002/01/08 @ 05:00:00,1,8,5,10.6,10.09,0.007495679761896117,100.85,0.94,9.71,0.0,0,0,1.2
2002/01/08 @ 06:00:00,1,8,6,10.6,10.0,0.0074149877919138405,100.94,0.93,9.55,0.0,0,0,1.2
2002/01/08 @ 07:00:00,1,8,7,11.5,10.43,0.007449167008099082,101.0,0.88,9.61,0.0,0,0,1.2
2002/01/08 @ 08:00:00,1,8,8,13.1,11.0,0.007334354734954072,101.08,0.78,9.39,269.93,240,209,1.2
2002/01/08 @ 09:00:00,1,8,9,16.8,11.15,0.005954397175274311,101.08,0.5,6.35,441.5,527,233,1.6
2002/01/08 @ 10:00:00,1,8,10,18.9,11.5,0.005432816540709494,101.08,0.4,5.04,565.9,669,234,1.9
2002/01/08 @ 11:00:00,1,8,11,20.5,12.13,0.005400080466512552,101.1,0.36,4.95,592.49,743,185,1.9
2002/01/08 @ 12:00:00,1,8,12,21.0,12.35,0.005414433960023261,101.13,0.35,4.99,587.07,776,161,2.1
2002/01/08 @ 13:00:00,1,8,13,20.5,11.83,0.005097617084328168,101.18,0.34,4.13,528.39,776,142,2.3
2002/01/08 @ 14:00:00,1,8,14,19.9,11.83,0.005347392774291191,101.22,0.37,4.81,438.71,742,143,2.5
2002/01/08 @ 15:00:00,1,8,15,18.8,11.7,0.005671060497321816,101.22,0.42,5.65,294.84,667,123,2.3
2002/01/08 @ 16:00:00,1,8,16,17.9,11.27,0.005614344664271167,101.18,0.44,5.51,135.83,163,122,2.0
2002/01/08 @ 17:00:00,1,8,17,16.3,11.11,0.006115554397661507,101.32,0.53,6.74,0.0,0,0,1.5
2002/01/08 @ 18:00:00,1,8,18,15.2,10.65,0.0061298783452804935,101.26,0.57,6.77,0.0,0,0,1.4
2002/01/08 @ 19:00:00,1,8,19,14.4,9.96,0.005818637341972057,101.22,0.57,6.02,0.0,0,0,1.3
2002/01/08 @ 20:00:00,1,8,20,13.7,9.04,0.005262916070523315,101.16,0.54,4.58,0.0,0,0,1.2
2002/01/08 @ 21:00:00,1,8,21,12.8,8.49,0.005145328616221303,101.22,0.56,4.26,0.0,0,0,1.0
2002/01/08 @ 22:00:00,1,8,22,12.1,7.9,0.0049121575321245566,101.26,0.56,3.6,0.0,0,0,0.8
2002/01/08 @ 23:00:00,1,8,23,12.1,8.0,0.005000579896427568,101.3,0.57,3.86,0.0,0,0,0.5
2002/01/09 @ 00:00:00,1,9,0,11.4,7.5,0.004857177405869516,101.31,0.58,3.44,0.0,0,0,0.8
2002/01/09 @ 01:00:00,1,9,1,11.0,7.83,0.005304555110826883,101.32,0.65,4.7,0.0,0,0,1.1
2002/01/09 @ 02:00:00,1,9,2,10.7,7.85,0.005440855166224397,101.32,0.68,5.06,0.0,0,0,1.2
2002/01/09 @ 03:00:00,1,9,3,10.5,7.67,0.005368144474407364,101.36,0.68,4.87,0.0,0,0,1.2
2002/01/09 @ 04:00:00,1,9,4,10.6,7.66,0.005324234226079438,101.38,0.67,4.75,0.0,0,0,1.1
2002/01/09 @ 05:00:00,1,9,5,10.7,7.57,0.005198810973464258,101.41,0.65,4.41,0.0,0,0,1.0
2002/01/09 @ 06:00:00,1,9,6,11.1,8.4,0.005754813771363352,101.5,0.7,5.86,0.0,0,0,0.9
2002/01/09 @ 07:00:00,1,9,7,12.2,9.3,0.006104066998046763,101.58,0.69,6.71,0.0,0,0,0.8
2002/01/09 @ 08:00:00,1,9,8,13.7,9.7,0.005853187838359148,101.64,0.6,6.11,155.08,240,94,0.8
