Time,MM,DD,hh,T_dry,T_wb,w,P,RH,T_dp,ghi,dni,dhi,v_wind
2002/01/01 @ 00:00:00,1,1,0,5.2,4.43,0.004891552485909156,102.46,0.89,3.54,0.0,0,0,3.5
2002/01/01 @ 01:00:00,1,1,1,5.1,4.26,0.0048023284443719,102.48,0.88,3.28,0.0,0,0,3.4
2002/01/01 @ 02:00:00,1,1,2,5.3,4.53,0.004925993492891272,102.45,0.89,3.64,0.0,0,0,4.2
2002/01/01 @ 03:00:00,1,1,3,7.1,6.27,0.005584094977828427,101.61,0.89,5.43,0.0,0,0,4.8
2002/01/01 @ 04:00:00,1,1,4,6.9,6.38,0.005757098994761482,101.72,0.93,5.87,0.0,0,0,5.7
2002/01/01 @ 05:00:00,1,1,5,7.2,6.75,0.005941763881403585,101.87,0.94,6.32,0.0,0,0,5.5
2002/01/01 @ 06:00:00,1,1,6,6.4,5.96,0.005620926916220555,102.17,0.94,5.53,0.0,0,0,5.2
2002/01/01 @ 07:00:00,1,1,7,7.3,6.92,0.006047264996755489,101.86,0.95,6.58,0.0,0,0,5.4
2002/01/01 @ 08:00:00,1,1,8,8.7,8.22,0.006587728920471812,101.71,0.94,7.82,0.0,0,0,5.9
2002/01/01 @ 09:00:00,1,1,9,8.4,7.69,0.0062456942869416505,101.89,0.91,7.04,10.15,2,10,5.7
2002/01/01 @ 10:00:00,1,1,10,8.6,7.72,0.006191304731845745,102.07,0.89,6.92,41.07,6,40,5.8
2002/01/01 @ 11:00:00,1,1,11,8.9,7.85,0.006176166291442887,102.06,0.87,6.88,169.33,209,118,5.8
2002/01/01 @ 12:00:00,1,1,12,10.2,8.84,0.006511471540696887,102.11,0.84,7.65,213.14,323,124,6.3
2002/01/01 @ 13:00:00,1,1,13,11.1,9.51,0.006752063510471406,102.09,0.82,8.18,168.31,151,128,6.5
2002/01/01 @ 14:00:00,1,1,14,11.3,9.61,0.006758923575985082,102.08,0.81,8.19,141.37,166,105,6.4
2002/01/01 @ 15:00:00,1,1,15,10.6,9.04,0.006528739661747208,102.15,0.82,7.69,108.82,345,62,5.9
2002/01/01 @ 16:00:00,1,1,16,9.4,8.07,0.006167696218421451,102.2,0.84,6.86,21.18,97,19,5.3
