Time,MM,DD,hh,T_dry,T_wb,w,P,RH,T_dp,ghi,dni,dhi,v_wind
2002/01/01 @ 00:00:00,1,1,0,-22.2,-22.72,0.0003037251147599378,100.55,0.59,-27.38,0.0,0,0,3.1
2002/01/01 @ 01:00:00,1,1,1,-22.6,-23.08,0.0003019740229826147,100.58,0.61,-27.43,0.0,0,0,3.1
2002/01/01 @ 02:00:00,1,1,2,-23.1,-23.54,0.0002969378879481787,100.49,0.63,-27.6,0.0,0,0,3.6
2002/01/01 @ 03:00:00,1,1,3,-22.5,-22.96,0.0003149498276889082,100.5,0.63,-27.03,0.0,0,0,3.6
2002/01/01 @ 04:00:00,1,1,4,-22.7,-23.15,0.0003088372455471827,100.53,0.63,-27.22,0.0,0,0,3.6
2002/01/01 @ 05:00:00,1,1,5,-23.7,-24.1,0.0002843216589132956,100.57,0.64,-28.01,0.0,0,0,3.6
2002/01/01 @ 06:00:00,1,1,6,-22.3,-22.72,0.00034157656608135015,100.42,0.67,-26.24,59.0,0,59,3.6
2002/01/01 @ 07:00:00,1,1,7,-19.4,-19.87,0.00047909505353135374,100.56,0.71,-22.89,103.0,0,103,3.3
2002/01/01 @ 08:00:00,1,1,8,-19.3,-19.71,0.0005109661689167175,100.55,0.75,-22.24,130.0,0,130,3.6
2002/01/01 @ 09:00:00,1,1,9,-19.9,-20.32,0.00046957375650007757,100.41,0.73,-23.09,232.23,132,212,4.2
2002/01/01 @ 10:00:00,1,1,10,-18.9,-19.39,0.000502495152958468,100.43,0.71,-22.41,316.9,377,226,4.4
2002/01/01 @ 11:00:00,1,1,11,-14.3,-15.05,0.0007507913769301554,100.37,0.69,-18.27,398.96,506,251,4.4
2002/01/01 @ 12:00:00,1,1,12,-13.7,-14.54,0.0007702140428324463,100.25,0.67,-18.0,316.59,565,145,5.3
2002/01/01 @ 13:00:00,1,1,13,-13.9,-14.72,0.0007562459001166057,100.13,0.67,-18.19,240.28,435,121,5.7
2002/01/01 @ 14:00:00,1,1,14,-13.7,-14.54,0.0007702140428324463,100.03,0.67,-18.0,188.74,329,121,6.1
2002/01/01 @ 15:00:00,1,1,15,-13.4,-14.23,0.0008034404647987298,99.92,0.68,-17.56,127.98,454,81,6.1
2002/01/01 @ 16:00:00,1,1,16,-13.2,-14.02,0.0008302724392995597,99.7,0.69,-17.21,91.0,274,91,6.1
2002/01/01 @ 17:00:00,1,1,17,-12.6,-13.43,0.0008895326339994856,99.56,0.7,-16.47,0.0,0,0,6.7
2002/01/01 @ 18:00:00,1,1,18,-12.5,-13.16,0.0009746933935667558,99.68,0.76,-15.49,0.0,0,0,5.6
2002/01/01 @ 19:00:00,1,1,19,-12.8,-13.29,0.0010235277301865785,99.68,0.82,-14.97,0.0,0,0,5.4
2002/01/01 @ 20:00:00,1,1,20,-12.8,-13.12,0.0010985522866532422,99.69,0.88,-14.2,0.0,0,0,5.4
2002/01/01 @ 21:00:00,1,1,21,-12.3,-12.64,0.0011495088083220545,99.64,0.88,-13.71,0.0,0,0,5.3
2002/01/01 @ 22:00:00,1,1,22,-10.7,-11.04,0.001342605303070448,99.59,0.89,-12.0,0.0,0,0,5.3
2002/01/01 @ 23:00:00,1,1,23,-9.7,-10.07,0.001467727568912065,99.56,0.89,-11.01,0.0,0,0,5.4
2002/01/02 @ 00:00:00,1,2,0,-9.7,-10.07,0.001467727568912065,99.56,0.89,-11.01,0.0,0,0,5.4
2002/01/02 @ 01:00:00,1,2,1,-9.7,-10.1,0.0014511977683558074,99.65,0.88,-11.13,0.0,0,0,6.2
2002/01/02 @ 02:00:00,1,2,2,-9.5,-9.97,0.0014435230395733092,99.69,0.86,-11.19,0.0,0,0,6.7
2002/01/02 @ 03:00:00,1,2,3,-10.0,-10.72,0.001252125304439884,99.69,0.78,-12.77,0.0,0,0,7.2
2002/01/02 @ 04:00:00,1,2,4,-10.5,-11.42,0.001089898833583335,99.84,0.71,-14.29,0.0,0,0,7.8
2002/01/02 @ 05:00:00,1,2,5,-10.1,-11.34,0.0009860589165979817,99.92,0.62,-15.37,0.0,0,0,8.3
2002/01/02 @ 06:00:00,1,2,6,-13.4,-14.36,0.0007442932620713665,100.29,0.63,-18.36,54.0,0,54,7.2
2002/01/02 @ 07:00:00,1,2,7,-14.1,-15.01,0.000698131590215415,100.45,0.63,-19.03,103.0,0,103,6.7
2002/01/02 @ 08:00:00,1,2,8,-14.2,-15.13,0.0006807634275990904,100.66,0.62,-19.29,126.0,0,126,6.1
2002/01/02 @ 09:00:00,1,2,9,-14.0,-15.11,0.0006150047397171664,100.84,0.55,-20.35,232.46,133,212,4.7
2002/01/02 @ 10:00:00,1,2,10,-14.5,-15.67,0.0005446542907250921,100.89,0.51,-21.59,316.47,378,225,3.6
2002/01/02 @ 11:00:00,1,2,11,-15.2,-16.35,0.0004905651042138239,100.94,0.49,-22.65,400.88,507,252,3.1
2002/01/02 @ 12:00:00,1,2,12,-16.0,-17.13,0.00043687725695890485,100.96,0.47,-23.82,342.09,567,169,2.5
2002/01/02 @ 13:00:00,1,2,13,-16.2,-17.27,0.0004470776635309939,101.09,0.49,-23.58,277.56,578,118,2.5
2002/01/02 @ 14:00:00,1,2,14,-19.1,-20.05,0.0002984914339466855,100.98,0.43,-27.54,219.37,545,106,1.4
2002/01/02 @ 15:00:00,1,2,15,-16.4,-17.43,0.00044777820990252334,101.08,0.5,-23.57,165.33,457,117,2.5
2002/01/02 @ 16:00:00,1,2,16,-14.4,-15.5,0.0005820495634490502,101.03,0.54,-20.91,120.0,278,120,4.2
