Time,MM,DD,hh,T_dry,T_wb,w,P,RH,T_dp,ghi,dni,dhi,v_wind
2002/01/01 @ 00:00:00,1,1,0,8.2,7.8,0.006434181999307845,99.75,0.95,7.47,0.0,0,0,5.2
2002/01/01 @ 01:00:00,1,1,1,8.3,7.82,0.006409611859875389,99.83,0.94,7.42,0.0,0,0,4.9
2002/01/01 @ 02:00:00,1,1,2,7.8,7.17,0.006059973016669825,99.85,0.92,6.61,0.0,0,0,4.6
2002/01/01 @ 03:00:00,1,1,3,7.8,7.17,0.006059973016669825,100.04,0.92,6.61,0.0,0,0,4.1
2002/01/01 @ 04:00:00,1,1,4,7.8,7.17,0.006059973016669825,100.02,0.92,6.61,0.0,0,0,4.0
2002/01/01 @ 05:00:00,1,1,5,7.3,6.69,0.005854501127477045,100.08,0.92,6.11,0.0,0,0,3.9
2002/01/01 @ 06:00:00,1,1,6,6.3,5.78,0.005522021128649978,100.09,0.93,5.27,0.0,0,0,3.4
2002/01/01 @ 07:00:00,1,1,7,5.6,5.24,0.005372691464565697,99.88,0.95,4.88,0.0,0,0,2.8
2002/01/01 @ 08:00:00,1,1,8,4.8,4.59,0.005186991872859505,99.73,0.97,4.38,6.0,0,6,2.2
2002/01/01 @ 09:00:00,1,1,9,4.4,4.4,0.005199911121232569,99.64,1.0,4.41,37.98,107,31,1.9
2002/01/01 @ 10:00:00,1,1,10,4.3,4.3,0.005163273923968406,99.47,1.0,4.31,98.36,225,67,1.4
2002/01/01 @ 11:00:00,1,1,11,5.4,5.4,0.0055792649554107865,99.29,1.0,5.42,130.41,244,86,0.2
2002/01/01 @ 12:00:00,1,1,12,5.8,5.8,0.005737801806735484,99.5,1.0,5.82,83.23,38,76,0.8
2002/01/01 @ 13:00:00,1,1,13,6.0,6.0,0.005818569871663357,99.65,1.0,6.02,48.96,12,47,1.5
2002/01/01 @ 14:00:00,1,1,14,5.9,5.9,0.005778059715493151,99.19,1.0,5.92,26.93,9,26,0.4
2002/01/01 @ 15:00:00,1,1,15,5.7,5.7,0.005697794755740816,99.25,1.0,5.72,0.0,0,0,0.8
2002/01/01 @ 16:00:00,1,1,16,6.1,6.1,0.00585933367157627,98.81,1.0,6.12,0.0,0,0,0.6
2002/01/01 @ 17:00:00,1,1,17,6.5,6.5,0.006024953481034945,99.12,1.0,6.52,0.0,0,0,2.3
2002/01/01 @ 18:00:00,1,1,18,6.1,6.1,0.00585933367157627,99.12,1.0,6.12,0.0,0,0,2.5
2002/01/01 @ 19:00:00,1,1,19,6.1,6.1,0.00585933367157627,99.07,1.0,6.12,0.0,0,0,2.3
2002/01/01 @ 20:00:00,1,1,20,6.3,6.3,0.005941627823406869,98.65,1.0,6.32,0.0,0,0,1.9
2002/01/01 @ 21:00:00,1,1,21,5.4,5.4,0.0055792649554107865,98.98,1.0,5.42,0.0,0,0,2.7
2002/01/01 @ 22:00:00,1,1,22,4.6,4.6,0.0052738831245461425,99.1,1.0,4.61,0.0,0,0,3.4
2002/01/01 @ 23:00:00,1,1,23,4.5,4.5,0.005236780422723478,98.97,1.0,4.51,0.0,0,0,3.7
2002/01/02 @ 00:00:00,1,2,0,4.4,4.33,0.005147481643234707,99.14,0.99,4.27,0.0,0,0,3.4
2002/01/02 @ 01:00:00,1,2,1,4.7,4.49,0.005150564387899613,99.18,0.97,4.28,0.0,0,0,3.0
2002/01/02 @ 02:00:00,1,2,2,4.6,4.46,0.005167529084097933,99.1,0.98,4.32,0.0,0,0,2.4
2002/01/02 @ 03:00:00,1,2,3,4.3,4.3,0.005163273923968406,99.1,1.0,4.31,0.0,0,0,2.0
2002/01/02 @ 04:00:00,1,2,4,4.2,4.2,0.005126867539592965,99.04,1.0,4.21,0.0,0,0,1.8
2002/01/02 @ 05:00:00,1,2,5,4.6,4.6,0.0052738831245461425,98.8,1.0,4.61,0.0,0,0,1.5
2002/01/02 @ 06:00:00,1,2,6,4.2,4.2,0.005126867539592965,98.97,1.0,4.21,0.0,0,0,1.7
2002/01/02 @ 07:00:00,1,2,7,4.6,4.6,0.0052738831245461425,98.87,1.0,4.61,0.0,0,0,0.9
2002/01/02 @ 08:00:00,1,2,8,4.7,4.7,0.005311220531288016,98.8,1.0,4.72,4.0,0,4,1.0
2002/01/02 @ 09:00:00,1,2,9,3.9,3.9,0.005019020452380436,99.14,1.0,3.91,11.2,3,11,1.7
2002/01/02 @ 10:00:00,1,2,10,3.9,3.9,0.005019020452380436,99.11,1.0,3.91,15.14,1,15,2.1
2002/01/02 @ 11:00:00,1,2,11,4.2,4.2,0.005126867539592965,99.29,1.0,4.21,18.18,1,18,3.0
2002/01/02 @ 12:00:00,1,2,12,4.1,4.1,0.005090690683856108,99.31,1.0,4.11,19.19,1,19,2.9
2002/01/02 @ 13:00:00,1,2,13,4.3,4.3,0.005163273923968406,99.29,1.0,4.31,17.17,1,17,3.3
2002/01/02 @ 14:00:00,1,2,14,4.1,4.1,0.005090690683856108,99.41,1.0,4.11,11.11,1,11,3.2
2002/01/02 @ 15:00:00,1,2,15,4.3,4.16,0.0050591684396209535,99.41,0.98,4.02,0.0,0,0,3.2
2002/01/02 @ 16:00:00,1,2,16,4.1,3.97,0.0049880603133397915,99.48,0.98,3.82,0.0,0,0,2.9
2002/01/02 @ 17:00:00,1,2,17,4.2,4.13,0.005075180502795668,99.55,0.99,4.07,0.0,0,0,3.0
2002/01/02 @ 18:00:00,1,2,18,4.3,4.16,0.0050591684396209535,99.73,0.98,4.02,0.0,0,0,3.4
2002/01/02 @ 19:00:00,1,2,19,4.8,4.38,0.005025273241501019,100.01,0.94,3.93,0.0,0,0,3.7
2002/01/02 @ 20:00:00,1,2,20,5.0,4.44,0.004987201878538748,100.04,0.92,3.82,0.0,0,0,4.3
2002/01/02 @ 21:00:00,1,2,21,4.8,4.31,0.004971385563859815,100.1,0.93,3.77,0.0,0,0,4.4
2002/01/02 @ 22:00:00,1,2,22,4.6,4.19,0.004954929169721131,100.16,0.94,3.73,0.0,0,0,4.4
2002/01/02 @ 23:00:00,1,2,23,4.5,3.95,0.004814594875615779,100.24,0.92,3.32,0.0,0,0,4.6
2002/01/03 @ 00:00:00,1,3,0,4.3,3.69,0.004695071284538963,100.31,0.91,2.97,0.0,0,0,5.3
2002/01/03 @ 01:00:00,1,3,1,4.2,3.73,0.004765237128539665,100.31,0.93,3.17,0.0,0,0,5.6
2002/01/03 @ 02:00:00,1,3,2,4.1,3.7,0.004782900327778514,100.31,0.94,3.23,0.0,0,0,5.8
