Time,MM,DD,hh,T_dry,T_wb,w,P,RH,T_dp,ghi,dni,dhi,v_wind
2002/01/01 @ 00:00:00,1,1,0,-11.7,-12.68,0.0009096912871964934,101.93,0.66,-16.23,0.0,0,0,5.1
2002/01/01 @ 01:00:00,1,1,1,-11.7,-12.68,0.0009096912871964934,101.93,0.66,-16.23,0.0,0,0,4.6
2002/01/01 @ 02:00:00,1,1,2,-11.7,-12.68,0.0009096912871964934,101.93,0.66,-16.23,0.0,0,0,4.6
2002/01/01 @ 03:00:00,1,1,3,-11.7,-12.68,0.0009096912871964934,101.93,0.66,-16.23,0.0,0,0,4.1
2002/01/01 @ 04:00:00,1,1,4,-11.7,-12.68,0.0009096912871964934,101.93,0.66,-16.23,0.0,0,0,4.1
2002/01/01 @ 05:00:00,1,1,5,-11.7,-12.68,0.0009096912871964934,101.93,0.66,-16.23,0.0,0,0,3.6
2002/01/01 @ 06:00:00,1,1,6,-11.7,-12.48,0.0010063298085195068,101.93,0.73,-15.15,0.0,0,0,3.6
2002/01/01 @ 07:00:00,1,1,7,-11.1,-12.0,0.0010183652813454726,101.93,0.7,-15.02,0.0,0,0,3.6
2002/01/01 @ 08:00:00,1,1,8,-10.0,-11.0,0.0011073920638500446,101.93,0.69,-14.11,133.0,0,133,2.6
2002/01/01 @ 09:00:00,1,1,9,-8.9,-10.02,0.001202974715554087,101.59,0.68,-13.21,187.25,319,112,3.1
2002/01/01 @ 10:00:00,1,1,10,-8.3,-9.39,0.001305576786547503,101.59,0.7,-12.31,215.37,450,72,3.6
2002/01/01 @ 11:00:00,1,1,11,-7.2,-8.41,0.0014168304720494785,101.59,0.69,-11.4,229.48,237,144,3.1
2002/01/01 @ 12:00:00,1,1,12,-7.2,-8.41,0.0014168304720494785,101.59,0.69,-11.4,188.22,73,162,3.1
2002/01/01 @ 13:00:00,1,1,13,-7.2,-8.01,0.0016227039641396434,101.59,0.79,-9.88,136.86,25,129,3.1
2002/01/01 @ 14:00:00,1,1,14,-5.6,-6.41,0.0019112551492909673,101.59,0.81,-8.03,76.6,7,75,2.1
2002/01/01 @ 15:00:00,1,1,15,-6.1,-6.76,0.0018985644662418125,101.25,0.84,-8.1,30.11,1,30,3.6
2002/01/01 @ 16:00:00,1,1,16,-6.1,-6.72,0.001921236243370698,101.59,0.85,-7.97,0.0,0,0,4.6
2002/01/01 @ 17:00:00,1,1,17,-6.1,-6.72,0.001921236243370698,101.59,0.85,-7.97,0.0,0,0,5.7
2002/01/01 @ 18:00:00,1,1,18,-6.1,-6.93,0.0018078938335264075,101.59,0.8,-8.66,0.0,0,0,5.7
2002/01/01 @ 19:00:00,1,1,19,-6.1,-7.1,0.0017172495534718262,101.59,0.76,-9.24,0.0,0,0,5.7
2002/01/01 @ 20:00:00,1,1,20,-6.1,-7.1,0.0017172495534718262,101.59,0.76,-9.24,0.0,0,0,5.7
2002/01/01 @ 21:00:00,1,1,21,-6.1,-7.1,0.0017172495534718262,101.59,0.76,-9.24,0.0,0,0,5.7
2002/01/01 @ 22:00:00,1,1,22,-6.1,-7.1,0.0017172495534718262,101.59,0.76,-9.24,0.0,0,0,5.7
2002/01/01 @ 23:00:00,1,1,23,-6.1,-7.1,0.0017172495534718262,101.59,0.76,-9.24,0.0,0,0,5.7
2002/01/02 @ 00:00:00,1,2,0,-6.7,-7.7,0.0016087850488755847,101.59,0.75,-9.98,0.0,0,0,5.1
2002/01/02 @ 01:00:00,1,2,1,-6.7,-7.7,0.0016087850488755847,101.59,0.75,-9.98,0.0,0,0,5.1
2002/01/02 @ 02:00:00,1,2,2,-6.1,-7.1,0.0017172495534718262,101.59,0.76,-9.24,0.0,0,0,4.6
2002/01/02 @ 03:00:00,1,2,3,-7.2,-8.21,0.0015197502227898647,101.59,0.74,-10.62,0.0,0,0,4.1
2002/01/02 @ 04:00:00,1,2,4,-7.2,-8.41,0.0014168304720494785,101.59,0.69,-11.4,0.0,0,0,3.1
